case_id,area,priority,implementation_status,execution_status,test_ref,environment,observed_result,evidence_location,notes
NUM-job-original-brief,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > job-original-brief (job); docs/verify_reference.py::job-original-brief,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Production engine and independent Python oracle both compute directCost 2623.00, overhead 393.45, cost 3016.45, and price outputs (approxPrice 4640.69, minimumPrice 4640.70, profit 1624.25, margin 35.0%) matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-job-homepage,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > job-homepage (job); docs/verify_reference.py::job-homepage,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute directCost 1900.00, overhead 285.00, cost 2185.00, approxPrice/minimumPrice 3361.54, profit 1015.00, margin 31.7% — matching the fixture exactly.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-door-homepage,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > door-homepage (price); docs/verify_reference.py::door-homepage,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute approxPrice/minimumPrice 103.08, profit 18.00, margin 21.2%, status below_target — matching the fixture. Independently re-derived in tests/mutation/mutation.test.ts using the same cost/target.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-loss,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > loss (price); docs/verify_reference.py::loss,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute approxPrice/minimumPrice 153.85, profit -15.00, margin -17.6%, status below_cost. mutation.test.ts (clamp-negative-profit-to-zero check) independently re-confirms profit stays -15.00.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-at-target,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > at-target (price); docs/verify_reference.py::at-target,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute price 100.00, profit 35.00, margin exactly 35.0%, status at_target — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-unpriced,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > unpriced (price); docs/verify_reference.py::unpriced,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines return profit null, margin null, status unpriced, approxPrice/minimumPrice 153.85. mutation.test.ts independently reconfirms null price is never coerced to 0.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-no-charge,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > no-charge (price); docs/verify_reference.py::no-charge,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines return profit -100.00, margin null, status zero_price (distinct from unpriced), approxPrice/minimumPrice 153.85 — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-rounding-target-boundary,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > rounding-target-boundary (price); docs/verify_reference.py::rounding-target-boundary,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute approxPrice/minimumPrice 1.67, profit 0.66, margin 39.8%, status below_target at the 0.40 target boundary — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-interior-walls-brief,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-walls-brief (interior); docs/verify_reference.py::interior-walls-brief,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute grossArea 648.00, deduction 85.00, netWall 563.00, coatArea 1126.00, rawGallons 3.538857, purchase 4 gal, paintCost 168.00, hours 7.506667, laborCost 240.21, totalCost 408.21 — matching the fixture. Partially re-derived in mutation.test.ts.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-interior-with-ceiling,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-with-ceiling (interior); docs/verify_reference.py::interior-with-ceiling,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute totalArea 883.00, coatArea 1766.00, rawGallons 5.550286, purchase 6 gal, paintCost 252.00, hours 12.840000, laborCost 410.88, totalCost 662.88 — matching the fixture. The combined 12.84-hour total is independently re-derived in mutation.test.ts (wall-throughput-for-ceiling guard).",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-document-rounding,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > document-rounding (document); docs/verify_reference.py::document-rounding,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute per-line totals 12.01/12.01, subtotal 24.02, tax 2.40, total 26.42 (tax on the rounded subtotal, not raw sum). The identical 12.005/12.005 example is independently re-verified in tests/engine/document.test.ts (DOC-02, ledger rounding) and tests/mutation/mutation.test.ts.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-pool-same-product,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > pool-same-product (paint); docs/verify_reference.py::pool-same-product,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines pool the two 1.2-gal demands for the same variant into one purchase of 3 gal, cost 126.00. Independently re-derived in tests/mutation/mutation.test.ts (ceil-per-project, not per-room, guard).",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-separate-colors,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > separate-colors (paint); docs/verify_reference.py::separate-colors,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines purchase 2 gal per color separately (2+2), cost 168.00, never pooling across variants. Independently re-derived in tests/mutation/mutation.test.ts (pool-different-colors guard).",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-exact-purchase-boundaries,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > exact-purchase-boundaries (paint); docs/verify_reference.py::exact-purchase-boundaries,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines purchase exactly 3 gal at the exact-3 boundary, 3 gal for 2.9999999999 (never spuriously rounds up), and 4 gal for 3.0000000001 (a genuine excess is never epsilon-truncated), cost 10.00 total. The ""over"" boundary is independently re-derived in tests/mutation/mutation.test.ts.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-wall-service,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > wall-service (service); docs/verify_reference.py::wall-service,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute paintPerUnit 0.264000, laborPerUnit 0.426667, costPerUnit 0.794267, margin 55.9% at price 1.80, approxPrice 1.22, minimumPrice 1.23. The same modeledCostPerUnit/margin is independently re-confirmed in tests/engine/serviceHealth.test.ts (HEALTH-04) and the approx-vs-minimum-cent boundary in tests/mutation/mutation.test.ts.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-trim-surface,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > trim-surface (surface); docs/verify_reference.py::trim-surface,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute area 50.00 ft2, rawGallons 0.314286, purchasedGallons 1, hours 5.000000, laborCost 160.00, paintCost 42.00 — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-door-two-faces,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > door-two-faces (surface); docs/verify_reference.py::door-two-faces,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute area 42.00 ft2, rawGallons 0.264000, purchasedGallons 1, hours 3.000000, laborCost 96.00, paintCost 42.00 — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-actual-final,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > actual-final (actual); docs/verify_reference.py::actual-final,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute actualCost 2485.00, profit 715.00, margin 22.3%, totalVariance 300.00 — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-actual-final-loss,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > actual-final-loss (actual); docs/verify_reference.py::actual-final-loss,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute actualCost 3500.00, profit -300.00, margin -9.4%, totalVariance 1315.00. The identical inputs are independently re-run in tests/mutation/mutation.test.ts (margin-gating guard), confirming a negative margin is still reported, not nulled.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
NUM-actual-zero-price,Fixed arithmetic regression,P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > actual-zero-price (actual); docs/verify_reference.py::actual-zero-price,vitest 5 / Node (local engine tests) + Python 3 standard-library oracle (independent rational-arithmetic check),"Both engines compute actualCost 100.00, profit -100.00, margin null (baselinePrice is 0), totalVariance 0.00 — matching the fixture.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json; docs/verify_reference.py,Full suite 167/167 passing at time of audit (npx vitest run). Both the production TypeScript engine and the independent Python oracle agree.
COST-001,"Labor, expenses and supplies",P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-walls-brief (interior),vitest 5 / Node,"wallOrCeilingHours(563,2,150) and the resulting labor cost are exercised via the interior-walls-brief fixture: hours 7.506667, laborCost 240.21 — matches this case's wall-only figures exactly.",tests/engine/fixtures.test.ts; src/engine/labor.ts,
COST-002,"Labor, expenses and supplies",P0,implemented,not_run,,,"No test isolates a standalone 320 ft2 / throughput-120 ceiling calculation. interior-with-ceiling (fixtures.test.ts) exercises the same wallOrCeilingHours() call for the ceiling term but only asserts the COMBINED wall+ceiling totals (12.84h/410.88), never the ceiling-only 5.333h/170.67 figure this case names.","src/engine/labor.ts (wallOrCeilingHours); tests/engine/fixtures.test.ts; tests/mutation/mutation.test.ts (uses the same 320/120 numbers inline, but as a hand-rolled comparison, not a call into the production function, and only asserts the combined 12.84h total)",Prior test-execution-results.csv correctly marked this not_run — confirmed accurate.
COST-003,"Labor, expenses and supplies",P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-with-ceiling (interior),vitest 5 / Node,"The combined wall+ceiling fixture asserts hours 12.840000 and laborCost 410.88 exactly, matching this case's given/then. Independently corroborated by tests/mutation/mutation.test.ts's wall-throughput-for-ceiling guard.",tests/engine/fixtures.test.ts; tests/mutation/mutation.test.ts,
COST-004,"Labor, expenses and supplies",P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > trim-surface (surface),vitest 5 / Node,"trim-surface fixture asserts hours 5.000000 and laborCost 160.00 for length100/coats2/throughput40/rate32, confirming trimHours() scales with linear length, not developed-width area.",tests/engine/fixtures.test.ts; src/engine/labor.ts,
COST-005,"Labor, expenses and supplies",P0,implemented,passed,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > door-two-faces (surface),vitest 5 / Node,"door-two-faces fixture asserts hours 3.000000 and laborCost 96.00 for count1/sides2/coats2/time.75/rate32, confirming doorHours() multiplies by sides exactly once.",tests/engine/fixtures.test.ts; src/engine/labor.ts,
COST-006,"Labor, expenses and supplies",P0,implemented,not_run,,,"doorHours(count,sides,coats,hoursPerSidePerCoat) multiplies by the sides parameter explicitly (src/engine/labor.ts line 16-18), so sides=1 correctly yields 1.5h/$48 with no implicit doubling by construction — but no test anywhere calls doorHours or the door fixture path with sides=1; every door test (fixtures.test.ts, estimate.test.ts, geometry.test.ts) uses sides=2.",src/engine/labor.ts,"Geometry-only sides=1 cases (doorPaintableArea) are tested in geometry.test.ts GEO-10, but that is area, not labor hours/cost."
COST-007,"Labor, expenses and supplies",P0,implemented,not_run,,,"The ""additional prep hours"" concept exists both as src/engine/labor.ts::additionalLaborCost() (never called anywhere, dead code) and as inline duplicate logic in src/domain/estimateAssembly.ts line 182-183 (revision.additionalLabor.reduce(...)), which does feed into laborCost and thus directCost/overhead once — but no test (unit or domain) ever populates additionalLabor and asserts the resulting labor/overhead increase.",src/engine/labor.ts; src/domain/estimateAssembly.ts,additionalLaborCost() in labor.ts is unused dead code — estimateAssembly.ts reimplements the same reduce inline instead of calling it.
COST-008,"Labor, expenses and supplies",P0,implemented,not_run,,,"surfaceApplicationLaborCost() sums lines.hours*line's OWN loadedHourlyRate (src/engine/labor.ts line 34-36), never a single shared rate — but every existing multi-surface test (estimate.test.ts, estimateAssembly.test.ts) gives all surfaces the SAME loadedHourlyRate (32), so the ""different rates per line"" scenario this case names is never actually exercised.",src/engine/labor.ts; tests/engine/estimate.test.ts,
COST-009,"Labor, expenses and supplies",P0,implemented,not_run,,,"materialsTotal(paintCost, otherMaterialsCost, allowance) and suppliesAllowance(mode:""none"",...) are tested in cost.test.ts (COST-01/COST-04) but with paintCost=100/200 and otherMaterials=900 — never with this case's specific paint=126/supplies=20/total=146 figures. The allowance-isolation RULE is verified; this exact numeric fixture (126/20/146) was never run.",src/engine/cost.ts; tests/engine/cost.test.ts,"The prior test-execution-results.csv marked this ""passed"" citing tests/engine/cost.test.ts::COST-01..04 — that citation is misleading: those tests use different sample numbers (100/200/999) and never produce or assert the value 146.00 this case names. Downgraded to not_run per audit rigor."
COST-010,"Labor, expenses and supplies",P0,implemented,not_run,,,"suppliesAllowance(mode:""flat"",...) is tested in cost.test.ts::COST-02 (flatAmount=25, ignores stale paintPercentRatio=0.9) — the same isolation RULE this case describes, but never with paint=126/flat=10/total=156.",src/engine/cost.ts; tests/engine/cost.test.ts,
COST-011,"Labor, expenses and supplies",P0,implemented,not_run,,,"suppliesAllowance(mode:""paintPercent"",...) is tested in cost.test.ts::COST-03/COST-04 (paintPercentRatio scales off paint cost only, ignoring stale flatAmount and unrelated otherMaterials) — the same rule, but never with paint=126/ratio=.10/allowance=12.60/total=158.60.",src/engine/cost.ts; tests/engine/cost.test.ts,
COST-012,"Labor, expenses and supplies",P0,implemented,not_run,,,"cost.test.ts::COST-01 proves mode=""none"" contributes zero even with stale flatAmount=999 and paintPercentRatio=0.5 present — structurally the same ""switching modes clears stale contributions"" guarantee this case asks for, but never run with this case's specific flat10-to-none/ratio.10 numbers.",src/engine/cost.ts; tests/engine/cost.test.ts,
COST-013,"Labor, expenses and supplies",P0,implemented,not_run,,,"cost.test.ts::COST-03 proves mode=""paintPercent"" ignores a stale flatAmount=999 entirely (no blend) — the same rule this case describes for switching flat10 to paintPercent.10, but never run with this case's specific paint126/12.60 numbers.",src/engine/cost.ts; tests/engine/cost.test.ts,
COST-014,"Labor, expenses and supplies",P0,missing,not_run,,,"BusinessSettings.defaultTravelAmount exists as a schema field (src/domain/entities.ts line 19) but is never read anywhere in src/ except being set to the literal string ""0"" in ProApp.tsx's settings default and every test fixture. No code path in createDraftRevision, estimateAssembly.ts, or ProApp.tsx auto-inserts a default travel/expense line into otherExpenses when a new draft is created.",src/domain/entities.ts; src/domain/project.ts; src/components/tools/pro/ProApp.tsx,"This appears to be an unimplemented feature (or a dead schema field), not merely an untested one — a default-travel-expense auto-insert with idempotent recalculation was never wired up."
COST-015,"Labor, expenses and supplies",P0,missing,not_run,,,"This case tests idempotency of the same default-travel-expense feature COST-014 describes; since no code ever auto-inserts a default expense line (defaultTravelAmount is unused), there is nothing to accidentally re-add, and no test exercises this path.",src/domain/entities.ts; src/domain/project.ts,Same root gap as COST-014.
COST-016,"Labor, expenses and supplies",P0,implemented,not_run,,,"otherMaterialCost(lines) = sum(quantity*unitCost) (src/engine/cost.ts line 26-28) is used in production by estimateAssembly.ts line 172, but the function itself is never directly unit-tested, and no domain/estimateAssembly test populates otherMaterialLines to exercise it end-to-end.",src/engine/cost.ts; src/domain/estimateAssembly.ts,
COST-017,"Labor, expenses and supplies",P0,implemented,passed,"tests/engine/cost.test.ts::COST-05, COST-06",vitest 5 / Node,"Grepped the whole src/ tree for ""burden""/""multiplier"": no such code exists anywhere. directCost()/overheadAmount() (cost.test.ts COST-05/06, and the NUM-job-homepage fixture) pass the already-loaded labor figure straight into directCost with exactly one overhead multiplication — no second burden factor is ever applied to a loaded rate.",src/engine/cost.ts; tests/engine/cost.test.ts,"This is a negative/structural claim verified by source inspection plus the existing directCost/overheadAmount tests, not a single fixture with these exact words."
COST-018,"Labor, expenses and supplies",P0,implemented,not_run,,,"overheadAmount(directCostValue, overheadRatio) is a plain multiplication with no range validation rejecting 0 (src/engine/cost.ts, src/domain/estimateAssembly.ts only checks the field parses as a valid decimal). No test passes overheadRatio=""0"" to confirm the resulting overhead=0/total=cost path end-to-end.",src/engine/cost.ts; src/domain/estimateAssembly.ts,
COST-019,"Labor, expenses and supplies",P0,partial,not_run,,,"overheadAmount(100, 1) would compute overhead=100/total=200 without being rejected (no upper-bound validation on overheadRatio), satisfying ""not invalid"" — but the ""warning unusual"" half of this case is NOT implemented: src/engine/types.ts defines a FieldWarning/warnings[] scaffold, but grepping the whole src/ tree shows warnings is never populated (always an empty array) anywhere in the codebase.",src/engine/cost.ts; src/engine/types.ts,The warnings mechanism is dead scaffolding — no code path ever surfaces a warning for an unusual overhead ratio (or anything else).
HEALTH-001,Price Book Health,P0,implemented,passed,tests/engine/serviceHealth.test.ts::HEALTH-04 (forward-derived fixture...); tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service),vitest 5 / Node,"Both the dedicated serviceHealth test and the wall-service acceptance fixture compute modeledCostPerUnit 0.794267 at price 1.80 (paint .264000, labor .426667, cost .794267/rounded .794266..., margin 55.9%, approxPrice 1.22, minimumPrice 1.23) and status above_target.",tests/engine/serviceHealth.test.ts; tests/engine/fixtures.test.ts,"Prior test-execution-results.csv cited ""serviceHealth.test.ts::HEALTH-01"" for this case — HEALTH-01 in that file actually tests the NULL-price/unpriced scenario (which matches catalogue HEALTH-010, not HEALTH-001). The real match is HEALTH-04. This confirms the audit brief's warning about sloppy ID-based (not content-based) matching in the prior CSV."
HEALTH-002,Price Book Health,P0,implemented,not_run,,,"No test calls evaluatePrice/evaluateServiceHealth with price=1.22 against the wall-service's cost (0.794267) to confirm status=below_target / margin display 34.9%. The mechanism (evaluatePrice status thresholds) is implemented and tested with other inputs, but this exact boundary value was never run.",src/engine/pricing.ts; src/engine/serviceHealth.ts,"Prior CSV cited ""serviceHealth.test.ts::HEALTH-02"" for this case, but HEALTH-02 in that file tests a null unitCost (missing-assumption) scenario — a completely different case (matches catalogue HEALTH-013), not this price-boundary scenario. That prior ""passed"" claim was false."
HEALTH-003,Price Book Health,P0,implemented,not_run,,,"No test calls evaluatePrice/evaluateServiceHealth with price=1.23 against cost 0.794267 to confirm status flips to above_target at the smallest cent that clears 35%. tests/property/pricing.property.test.ts PROPERTY 2 proves this minimum-cent guarantee generically (for randomized cost/target pairs, seed 20260914) and tests/mutation/mutation.test.ts independently re-derives 1.22 vs 1.23 for this exact cost — but neither literally evaluates evaluateServiceHealth/evaluatePrice at price=1.23 and asserts status=""above_target"".",src/engine/pricing.ts; tests/property/pricing.property.test.ts; tests/mutation/mutation.test.ts,"Prior CSV cited ""serviceHealth.test.ts::HEALTH-03"" for this case, but HEALTH-03 in that file tests a below-cost/negative-margin scenario (matches catalogue HEALTH-012), not this above-target boundary. That prior ""passed"" claim was false."
