case_id,area,priority,implementation_status,execution_status,test_ref,environment,observed_result,evidence_location,notes
ACCESS-001,Purchase and entitlement integration,P0,implemented,blocked,,,"resolvePendingCheckout() only unlocks after sessionStorage matches a real startCheckout() call, or explicit ?checkout=recover params -- and even then always re-verifies against Dodo via /api/checkout/verify before granting access. Visiting the return/recovery URL with fabricated params alone triggers a real Dodo lookup that fails for a non-existent payment. Not tested against a real Dodo account (no credentials in this environment).","src/lib/license.ts (resolvePendingCheckout, verify); src/pages/api/checkout/verify.ts","Implemented this session (Dodo Payments integration). Live-verified that clicking Buy and redeeming a fake key both correctly fail closed with no real credentials configured; the specific ""URL alone"" scenario needs a real Dodo test-mode account to fully exercise. RECLASSIFIED this session from not_run to blocked -- concrete external dependency: a real Dodo Payments test-mode account (merchant credentials, a real payment_id, and/or a real signed webhook payload) is required to exercise this case end-to-end; no such credentials exist in this environment."
ACCESS-002,Purchase and entitlement integration,P0,implemented,passed,tests/lib/clientLicense.test.ts,,"verifyAccess() now distinguishes a genuine NetworkFailure (fails open on a previously-confirmed payment) from any real server response including misconfiguration/rejection (fails closed, clears the stored payment). Live-verified: a forged pep_payment_v1 record unlocked Pro before the fix and correctly failed closed (and was cleared) after the fix, using this repo's own unconfigured-Dodo-credentials state as the real-world non-2xx response.",BUG_FIX_LOG.md #16,"SECURITY FIX this session -- the previously-recorded ""implemented/not_run"" status was incorrect; the feature was actually broken until this fix. Live-verified in browser both before and after. UPDATED this session (v4, item 3): the underlying verifyAccess() was replaced by checkAccess() with a three-way granted/noAccess/unavailable result -- this case's guarantee (a real server response fails closed) is preserved and re-verified by the rewritten tests/lib/clientLicense.test.ts, which also now closes the further ACCESS-014 network-failure gap (see BUG_FIX_LOG.md #23)."
ACCESS-003,Purchase and entitlement integration,P0,implemented,blocked,,,"buildLicenseKey(payment.payment_id) ties the key to the specific Dodo payment; there is only one product (Pro), so no cross-product ambiguity is possible. Verified by unit test that the key round-trips exactly to that payment id.",src/lib/server/license.ts; tests/lib/license.test.ts,"Implemented this session. Delivery-exactly-once against a live purchase needs a real Dodo account to exercise end-to-end. RECLASSIFIED this session from not_run to blocked -- concrete external dependency: a real Dodo Payments test-mode account (merchant credentials, a real payment_id, and/or a real signed webhook payload) is required to exercise this case end-to-end; no such credentials exist in this environment."
ACCESS-004,Purchase and entitlement integration,P0,implemented,blocked,,,"verify/redeem/webhook are all read-only lookups against Dodo -- no license or charge is ever created server-side, so repeating any of them cannot duplicate one. The one known non-idempotent side effect is intentional and documented: a repeated webhook delivery can send a duplicate confirmation email (not a duplicate license/charge), which src/lib/server/license.ts explicitly accepts as preferable to a purchase that emails nothing.",src/pages/api/webhooks/dodo.ts; src/lib/server/license.ts,"Implemented this session. Not tested against a real repeated webhook delivery. RECLASSIFIED this session from not_run to blocked -- concrete external dependency: a real Dodo Payments test-mode account (merchant credentials, a real payment_id, and/or a real signed webhook payload) is required to exercise this case end-to-end; no such credentials exist in this environment."
ACCESS-005,Purchase and entitlement integration,P0,implemented,passed,tests/lib/serverDodo.test.ts; tests/api/checkoutVerify.test.ts; tests/api/licenseRedeem.test.ts; tests/api/webhookDodo.test.ts,,"evaluatePaymentEntitlement() rejects any payment whose product_cart does not include the configured Pro product, reused identically by verify.ts, redeem.ts, and the webhook. The webhook additionally rejects an invalid signature (401) before ever evaluating entitlement. Reproduced red against the original code first: an unrelated-product payment returned ok:true / sent a working license email.",BUG_FIX_LOG.md #22,"Fixed this session (v4, item 4) -- previously recorded blocked; this was unfinished implementation (no product-identity check existed at all), not an external dependency. Real-provider webhook signature acceptance still needs a real Dodo webhook secret to exercise end-to-end."
ACCESS-006,Purchase and entitlement integration,P0,implemented,passed,Manual browser verification (Claude Browser session),manual browser (Claude Browser session),"Clicked ""Buy Pro"" with no Dodo credentials configured; observed a clear, non-crashing message (""Payments aren't set up yet -- check back soon."") with the Buy/redeem UI still present for retry, not a dead end. A real cancelled-checkout return is handled by the same verify() re-check path and shown via a ""That checkout was cancelled -- no charge was made"" message, added this session.",src/components/tools/pro/ProGate.tsx; src/lib/license.ts,"The exact ""user actively cancels Dodo's hosted checkout page"" path was not driven live (needs a real Dodo checkout session to cancel); the not-configured and general non-success paths were live-verified."
ACCESS-007,Purchase and entitlement integration,P0,partial,not_run,,,"A delayed provider event currently surfaces as a generic ""hasn't completed yet -- if you just paid, give it a moment and refresh"" message with no automatic re-poll/retry -- the user must manually refresh. This is a real, honest gap: a true ""pending"" state (auto-retrying verification for e.g. 30-60s before giving up) is not implemented.",src/components/tools/pro/ProGate.tsx,"Real gap: no automatic polling for a delayed webhook/status update. A manual refresh works (verify() is idempotent and safe to re-call), but the UX does not proactively retry."
ACCESS-008,Purchase and entitlement integration,P0,implemented,blocked,,,redeemLicenseKey()/requestLicenseRecovery() verify a pasted key or look up succeeded payments by customer email directly against Dodo -- neither ever reads or trusts a local project backup file as proof of purchase.,"src/lib/license.ts; src/pages/api/license/redeem.ts, recover.ts","Implemented this session. Live-verified the redeem round-trip (malformed key rejected client-side; well-formed-but-fake key round-trips to the server and fails closed). Not tested against a real successful purchase. RECLASSIFIED this session from not_run to blocked -- concrete external dependency: a real Dodo Payments test-mode account (merchant credentials, a real payment_id, and/or a real signed webhook payload) is required to exercise this case end-to-end; no such credentials exist in this environment."
ACCESS-009,Purchase and entitlement integration,P0,implemented,passed,tests/lib/clientLicense.test.ts,,"checkAccess() (formerly verifyAccess()) never grants access on a NetworkFailure -- it returns a distinct ""unavailable"" status, preserving the stored payment and all local project data for a later retry, and ProGate.tsx shows an explicit ""Can't verify access right now"" screen with a Try again button rather than unlocking or showing a rejection message.",BUG_FIX_LOG.md #23,"Fixed this session (v4, item 3) -- the documented offline/grace policy chosen is ""require successful online verification"" (ACCESS_SPEC.md's named alternative to building unimplemented offline signed licenses). Live-verified in the browser with the task's own fabricated-record-plus-network-failure reproduction."
ACCESS-010,Purchase and entitlement integration,P0,implemented,passed,,code inspection + dodopayments SDK type definitions (node_modules/dodopayments/resources/payments.d.ts),"Confirmed via the SDK's own type definitions that Dodo tracks a refund via a SEPARATE refund_status field ('partial'|'full'), not payment.status (which stays 'succeeded' after a refund). verify.ts and redeem.ts both now additionally check refund_status === 'full' and revoke access if so; a partial refund does not revoke (a merchant-policy choice, not an API fact). Revocation only affects the license/access check -- it never touches IndexedDB project data, which is a structurally separate system.",src/pages/api/checkout/verify.ts; src/pages/api/license/redeem.ts,"Real gap found and fixed this session while implementing the payment integration -- without this check, a fully-refunded customer would have kept working access forever. Verified by reading the SDK types, not by triggering a real refund (no real Dodo account)."
ACCESS-011,Purchase and entitlement integration,P0,implemented,passed,tests/integration/backupRestoreStorage.test.ts::Backup export completeness and secret exclusion,vitest 5 / Node (local integration test),"The license key/payment record lives in localStorage (pep_payment_v1), structurally separate from the IndexedDB project data that exportBackup() reads -- backup.ts has no code path that could include it. The existing no-payment-string assertion (predates the license key but covers the same structural guarantee) confirms the exported JSON contains no stripe/license/entitlement/secret-like strings.",src/domain/backup.ts; src/lib/license.ts; tests/integration/backupRestoreStorage.test.ts,
ACCESS-012,Purchase and entitlement integration,P0,implemented,passed,Direct build-output inspection (this session),manual: grep against dist/client/ and .vercel/output/static/ after a real astro build,"Confirmed no client component imports anything from src/lib/server/**, and grepping the actual built client output (dist/client/, .vercel/output/static/) for DODO_PAYMENTS_API_KEY / DODO_PAYMENTS_WEBHOOK_KEY / GMAIL_APP_PASSWORD returns zero matches -- these env vars are only ever read inside server-only files (src/lib/server/*, src/pages/api/**), which Astro never bundles to the client.","src/lib/server/dodo.ts, license.ts; build output inspected directly, not committed","Verified against a real production build (npm run build) this session, not just by code reading."
ACT-001,Actual-cost review,P0,implemented,not_run,,,,src/engine/actuals.ts lines 49-59 (confirmedCategories < 4 branch),"The in_progress/null-everything branch is generic and applies identically to 0 confirmed categories as to 1+; but no test passes exactly 0 confirmed categories (closest is tests/engine/actuals.test.ts ""ACT-01"" with 1 confirmed). The ""missing indicators"" UI half of the ""then"" clause is also unverified — no per-category missing-indicator UI element was found."
ACT-002,Actual-cost review,P0,implemented,passed,"tests/engine/actuals.test.ts::""ACT-01 (V10): confirming materials alone leaves the review in_progress with no final profit/margin""",vitest 5 / Node,"materials confirmed=true amount=700, all others confirmed=false/null -> state in_progress, confirmedCategories=1, recordedCostSoFar=700, actualCost/profit/margin all null.",tests/engine/actuals.test.ts,Exact match to the given/then.
ACT-003,Actual-cost review,P0,implemented,passed,"tests/engine/actuals.test.ts::""ACT-02: explicit zero in every category is valid and finalizes"" + ""ACT-03: confirmed=true but amount=null does not count as a completed category""",vitest 5 / Node,"Together these prove amount=0+confirmed=true counts as supplied (state final, actualCost 0) while confirmed=true+amount=null does not count toward confirmedCategories — the ""zero vs. missing"" distinction.",tests/engine/actuals.test.ts,"The given is phrased around materials alone; the tests use all four categories (ACT-02) rather than materials in isolation, but categoryValue() is applied identically and independently per category, so this is a faithful proof of the same rule."
ACT-004,Actual-cost review,P0,implemented,not_run,,,,src/engine/actuals.ts line 42 (categoryValue: c.confirmed && c.amount !== null),"The check inherently excludes a category when confirmed is false, regardless of whether an amount value is present. No test supplies an amount alongside confirmed:false; all six existing tests only pair confirmed:false with amount:null."
ACT-005,Actual-cost review,P0,implemented,passed,"tests/engine/fixtures.test.ts::""actual-final (actual)"" (acceptance-fixtures.json id ""actual-final"")",vitest 5 / Node,"materials700/labor1400/otherExpenses100/overhead285/baselineCost2185/baselinePrice3200 -> actualCost 2485.00, profit 715.00, marginPercent 22.3, totalVariance 300.00.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json,Exact match to the given/then.
ACT-006,Actual-cost review,P0,implemented,passed,"tests/engine/fixtures.test.ts::""actual-final-loss (actual)""; tests/engine/actuals.test.ts::""ACT-04 (loss, v2.1 regression)""",vitest 5 / Node,"materials1000/labor2000/otherExpenses200/overhead300/baseline3200/cost2185 -> actualCost 3500.00, profit -300.00, marginPercent -9.4 (negative, not suppressed), totalVariance 1315.00.",tests/engine/fixtures.test.ts; tests/engine/actuals.test.ts; tests/fixtures/acceptance-fixtures.json,Exact match to the given/then.
ACT-007,Actual-cost review,P0,implemented,passed,"tests/engine/fixtures.test.ts::""actual-zero-price (actual)""; tests/engine/actuals.test.ts::""ACT-05 (zero baseline price, v2.1 regression)""",vitest 5 / Node,"materials100/labor0/other0/overhead0/baselineCost100/baselinePrice0 -> actualCost 100.00, profit -100.00, marginPercent null, totalVariance 0.00 (no divide-by-zero; a real loss amount is retained, not treated as unpriced).",tests/engine/fixtures.test.ts; tests/engine/actuals.test.ts; tests/fixtures/acceptance-fixtures.json,Exact match to the given/then.
ACT-008,Actual-cost review,P0,implemented,not_run,,,,src/components/tools/pro/ProApp.tsx line 349,`if (!issuedRevision || !issuedRevision.proposedPrice) return null;` returns null (no review computed) rather than coercing a missing baseline price to 0 — matches the requirement by code reading. This is UI-only logic with no automated test (no React component-test infra in this project per IMPLEMENTATION_DECISIONS.md).
ACT-009,Actual-cost review,P0,missing,not_run,,,,src/components/tools/pro/ProApp.tsx lines 75-80,"GAP FOUND: the actuals UI's initial state starts ALL four categories at {confirmed:false, amount:''} — the baseline's own estimated overhead allocation (e.g. $285) is never pre-filled or labeled into the review; the user must type an overhead amount manually with no default value or ""estimated/baseline allocation"" label shown anywhere."
ACT-010,Actual-cost review,P0,missing,not_run,,,,"src/domain/entities.ts line 219 (ActualReview.overhead mode field, unused); src/components/tools/pro/ProApp.tsx actuals UI","GAP FOUND: the domain entity defines overhead.mode: 'baselineAllocation'|'actualFlat' (and tool-specs/09 explicitly requires this dual mode), but the actuals UI has no mode toggle at all — overhead is one plain dollar-amount text field, and no ActualReview entity is ever persisted (see ACT-013)."
ACT-011,Actual-cost review,P0,missing,not_run,,,,"src/domain/entities.ts line 218 (ActualReview.laborBreakdown field, unused)","GAP FOUND: laborBreakdown ({mode:'direct'|'hoursRate', hours, rate}) is defined in the domain model but completely unused — labor in the actuals UI is a single plain dollar-amount field with no direct-vs-hours-times-rate toggle."
ACT-012,Actual-cost review,P0,implemented,not_run,,,,"src/components/tools/pro/ProApp.tsx line 679 (controlled input, single string per category)","Each category's amount is a single controlled-input string in React state, replaced (not appended) on every edit, matching evaluateActualReview's single-Dec-per-category design (no internal accumulator). No test simulates editing an already-entered amount and checking the cost delta; this is a structural guarantee rather than a directly tested one."
ACT-013,Actual-cost review,P0,missing,not_run,,,,"src/components/tools/pro/ProApp.tsx lines 75-80, 346-362 (local useState only); grep for actualReviews across src/","SIGNIFICANT GAP FOUND: the entire actuals review state in ProApp.tsx is local, ephemeral React component state — it is NEVER written to project.actualReviews or to IndexedDB anywhere in the codebase (actualReviews is only ever initialized to [] or read in test files, never populated by the running app). Recording actuals against an issued revision does not actually persist anything: reloading the app or switching projects silently loses all entered actuals, and there is no saved actual review to compare ""baseline before/after"" against. Only the calculation formula (evaluateActualReview) is fully built and tested; the persistence/workflow layer around it is not built."
ACT-014,Actual-cost review,P0,missing,not_run,,,,Same as ACT-013 (no persisted ActualReview record exists),"Depends on the same missing persistence layer as ACT-013 — there is no ""old actual review"" to reopen, so rebase-vs-auto-substitution behavior cannot exist yet."
ACT-015,Actual-cost review,P0,missing,not_run,,,,src/components/tools/pro/ProApp.tsx line 350 (toCategory helper); src/engine/actuals.ts (no sign check),"GAP FOUND: toCategory() builds new PEP(c.amount) directly from the raw text-input string with no validation at all (it does not go through src/engine/parse.ts's parseDecimalField/allowNegative machinery used elsewhere in the app) — a negative value like ""-100"" would be silently accepted and used in the calculation, not rejected. evaluateActualReview itself also performs no sign check on any category amount."
ACT-016,Actual-cost review,P0,partial,not_run,,,,src/components/tools/pro/ProApp.tsx line 689,"The on-screen label reads ""Profit vs. original quote,"" which correctly avoids claiming this is cash received or actual revenue — satisfying the core requirement by omission — but there is no explicit disclaimer text addressing change orders/receipts, and no automated test checks this label's wording."
BACK-001,"Backup, restore and conflict handling",P0,implemented,passed,"tests/integration/backupRestoreStorage.test.ts::""Restore into an empty store, through real IndexedDB transactions"" > ""a validated backup restored into a fresh (empty) store preserves the complete business graph""","vitest 5 / Node, emulator-backed (fake-indexeddb, real IndexedDB transaction semantics)","Exports an issued revision + its embedded rate snapshot + an actual review via exportBackup(), validates it, writes it into a freshly-deleted (empty) IndexedDB database via the SAME production functions the Pro app uses (writeAll/openAppDb through proStore.ts), then reads it back and asserts the issued state, actual review, and frozen customerDocumentSnapshot price all survive. This directly replaces the prior session's incorrect BACK-001 mapping to a schema-validation-only test.",tests/integration/backupRestoreStorage.test.ts ; src/domain/backup.ts ; src/storage/db.ts,"This is now a genuine round-trip test through real storage, using the same writeAll/saveProjects code path ProApp.tsx's handleExport does — corrects the previously-flagged false mapping."
BACK-002,"Backup, restore and conflict handling",P0,implemented,passed,"tests/integration/backupRestoreStorage.test.ts::""Backup export completeness and secret exclusion"" > ""exported data contains no payment/entitlement fields — there are none in the entity model to begin with""",vitest 5 / Node,"Serializes a full export envelope (including an issued revision and actual review) to JSON and asserts it contains none of: stripe, paymentintent, license_key, licensekey, entitlementtoken, apikey, api_key, secret. This directly replaces the prior session's incorrect BACK-002 mapping to an oversized-file-rejection test.",tests/integration/backupRestoreStorage.test.ts,Corrects the previously-flagged false mapping; genuinely checks secret exclusion rather than file-size rejection.
