case_id,source_section,category,scenario,expected_result,classification,canonical_case_if_duplicate,executable_test_reference,observed_result,status,notes
CORE-001,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Required loadedHourlyRate=null on enabled surface WHEN Validate and calculate,state=incomplete; field path identifies missing rate; no final cost/margin or issueable output.,uniquely required,,tests/domain/coreRequirements.test.ts,GIVEN Required loadedHourlyRate=null on enabled surface WHEN Validate and calculate THEN state=incomplete; field path identifies missing rate; no final cost/margin or issueable output.,passed,
CORE-002,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Required cost field contains -1 WHEN Validate directly at engine boundary,state=invalid; retain raw field text in UI; do not replace with zero.,uniquely required,,tests/domain/coreRequirements.test.ts; tests/engine/parse.test.ts:60-62,GIVEN Required cost field contains -1 WHEN Validate directly at engine boundary THEN state=invalid; retain raw field text in UI; do not replace with zero.,passed,
CORE-003,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Input values NaN, positive infinity, negative infinity (parameterized) WHEN Call validation directly, bypass UI",Reject each as invalid; persisted output contains no nonfinite number.,uniquely required,,tests/engine/parse.test.ts::CORE-parse: missing vs invalid vs valid-zero > BOUND-grammar-reject: NaN/Infinity text,"parseDecimalField(""NaN"") and parseDecimalField(""Infinity"") both assert kind===""invalid""; the same digit-only regex mismatch also rejects ""-Infinity"" (not separately asserted, identical code path).",passed,
CORE-004,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Input text 12abc, $12, 12ft, 1/2 (parameterized) WHEN Parse user numeric input",Reject each as malformed plain decimal; never parse prefix or mixed units.,uniquely required,,"tests/engine/parse.test.ts::CORE-parse > BOUND-grammar-reject: mixed unit text (""12abc"") is invalid, not zero; BOUND-grammar-reject: currency/unit suffixes","""12abc"", ""$12"", ""12ft"" are each explicitly asserted invalid. ""1/2"" is not separately asserted but is rejected by the identical non-digit-character regex mismatch.",passed,
CORE-005,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Required input empty string or whitespace-only WHEN Parse then validate,Missing/incomplete rather than explicit numeric zero.,uniquely required,,"tests/engine/parse.test.ts::CORE-parse > CORE-parse-01: blank/undefined/null are missing, never invalid or zero","parseDecimalField("""") and parseDecimalField(""   "") both return {kind:""missing""}.",passed,
CORE-006,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Optional omitted direct expense in new estimate WHEN Initialize model,Explicit zero default; same omission in actual category remains null/unconfirmed.,uniquely required,,tests/ui/jobCostCalculatorLogic.test.ts; tests/engine/actuals.test.ts,GIVEN Optional omitted direct expense in new estimate WHEN Initialize model THEN Explicit zero default; same omission in actual category remains null/unconfirmed.,passed,
CORE-007,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN User enters target 35 in percent UI WHEN Persist and calculate cost65,targetMarginRatio='0.35'; minimum price100.00; no double division by100.,uniquely required,,tests/domain/coreRequirements.test.ts,GIVEN User enters target 35 in percent UI WHEN Persist and calculate cost65 THEN targetMarginRatio='0.35'; minimum price100.00; no double division by100.,passed,
CORE-008,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost65,target.35,price100 WHEN Calculate","profit35.00; margin35.0%; status at_target, not above_target.",uniquely required,,tests/engine/fixtures.test.ts::at-target (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-01,"evaluatePrice({cost:65, price:100, targetMarginRatio:.35}) returns profit 35.00, margin 35.0%, status exactly ""at_target"" (not above_target).",passed,
CORE-009,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost100,price85,target.35 WHEN Calculate",profit-15.00; margin-17.6%; below_cost takes precedence over below_target.,uniquely required,,tests/engine/fixtures.test.ts::loss (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-07,"cost=100, price=85, target=.35 -> profit -15.00, margin -17.6%, status ""below_cost"" (takes precedence over below_target).",passed,
CORE-010,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost100,price=null WHEN Calculate",profit=null;margin=null;unpriced; no invented zero-percent warning.,uniquely required,,tests/engine/fixtures.test.ts::unpriced (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02,"price=null, cost=100, target=.35 -> profit null, marginRatio null, status ""unpriced""; approxPrice/minimumTargetPrice still computed (153.85) with no invented zero-percent warning.",passed,
