id,category,description,source_spec_reference,implementation_location,test_reference,evidence_type,status
CORE-D01,Shared decimal engine,PEP precision provides sufficient headroom for chained divisions that produce a repeating decimal,CALCULATION_SPEC.md §1,src/engine/decimal.ts,tests/engine/decimal.test.ts (NUM-DEC-001),unit+differential,verified
CORE-D02,Shared decimal engine,"halfUp() rounds ties away from zero (HALF_UP), symmetric for negative values, no banker's rounding",CALCULATION_SPEC.md §1,src/engine/decimal.ts,tests/engine/decimal.test.ts,unit,verified
CORE-D03,Shared decimal engine,No native binary-float artifact anywhere in the arithmetic chain (0.1+0.2 exact),CALCULATION_SPEC.md §1,src/engine/decimal.ts,tests/engine/decimal.test.ts,unit,verified
CORE-D04,Shared decimal engine,ceilDecimal() has no epsilon slop at exact integer boundaries,CALCULATION_SPEC.md §4,src/engine/decimal.ts,tests/property/paint.property.test.ts (PROPERTY 9),property,verified
CORE-P01,Shared parsing,parseDecimalField rejects Infinity/-Infinity/NaN/exponent notation/hex-looking values/thousands separators/currency symbols,IMPLEMENTATION_DECISIONS.md,src/engine/parse.ts,tests/engine/parse.test.ts,unit,verified
CORE-P02,Shared parsing,"Leading/trailing zero, leading/trailing decimal point, explicit +/-, negative-zero normalization",IMPLEMENTATION_DECISIONS.md,src/engine/parse.ts,tests/engine/parse.test.ts,unit,verified
CORE-P03,Shared parsing,Format-then-parse round-trip preserves the intended money value for any supported cents amount,IMPLEMENTATION_DECISIONS.md,"src/engine/parse.ts, src/engine/decimal.ts",tests/property/hardening.property.test.ts (PROPERTY 22),property,verified
CORE-P04,Shared parsing,isPositiveDivisor rejects zero and values below MIN_POSITIVE_DIVISOR (1e-9),src/engine/parse.ts,src/engine/parse.ts,tests/engine/parse.test.ts,unit,verified
CORE-P05,Shared parsing,"Extremely long numeric strings, mixed alphanumeric input, unicode whitespace are rejected, not silently coerced",CALCULATION_SPEC.md §1,src/engine/parse.ts,tests/engine/parse.test.ts,unit,verified
GEO-01,Geometry,"Gross wall area = 2*(length+width)*height, decimal feet retained",CALCULATION_SPEC.md §3,src/engine/geometry.ts,tests/engine/geoRequirements.test.ts (GEO-008),unit,verified
GEO-02,Geometry,Ceiling area = length*width,CALCULATION_SPEC.md §3,src/engine/geometry.ts,tests/engine/geometry.test.ts,unit,verified
GEO-03,Geometry,"Quick-mode opening deduction: doorCount*doorArea + windowCount*windowArea, exact quick-mode constants (20/15 ft2)",CALCULATION_SPEC.md §2,src/engine/geometry.ts,tests/engine/geoRequirements.test.ts (GEO-005),unit,verified
GEO-04,Geometry,"Detailed opening deduction sums each opening's own width*height*count, never averaged across differently-sized openings",CALCULATION_SPEC.md §3,src/engine/geometry.ts,"tests/engine/geoRequirements.test.ts (GEO-026, GEO-028)",unit,verified
