case_id,area,priority,implementation_status,execution_status,test_ref,environment,observed_result,evidence_location,notes
"CORE-001","Shared parsing and result state","P0","implemented","not_run","","","No test exercises loadedHourlyRate=null on an enabled surface. resolveSurface() in estimateAssembly.ts returns {state:""missing""} when the hourly-rate field is missing, which propagates to incompleteResult() — matches the spec by inspection, but this exact path is not exercised by any existing test.","src/domain/estimateAssembly.ts:86-88","Implementation appears correct by code inspection; no domain test constructs a surface with loadedHourlyRate omitted."
"CORE-002","Shared parsing and result state","P0","implemented","not_run","","","parseDecimalField(""-1"") without allowNegative returns {kind:""invalid"", rawText:""-1"", ...} — matches the spec's reject+retain-raw-text rule by inspection. The closest test (parse.test.ts ""negative when not allowed"") only asserts kind===""invalid"" for ""-5"" and never asserts rawText is preserved.","src/engine/parse.ts:56-64; tests/engine/parse.test.ts:60-62","rawText retention (the ""retain raw field text in UI"" half of the case) is never asserted by any test."
"CORE-003","Shared parsing and result state","P0","implemented","passed","tests/engine/parse.test.ts::CORE-parse: missing vs invalid vs valid-zero > BOUND-grammar-reject: NaN/Infinity text","vitest 5 / Node (local engine tests)","parseDecimalField(""NaN"") and parseDecimalField(""Infinity"") both assert kind===""invalid""; the same digit-only regex mismatch also rejects ""-Infinity"" (not separately asserted, identical code path).","tests/engine/parse.test.ts:69-72",""
"CORE-004","Shared parsing and result state","P0","implemented","passed","tests/engine/parse.test.ts::CORE-parse > BOUND-grammar-reject: mixed unit text (""12abc"") is invalid, not zero; BOUND-grammar-reject: currency/unit suffixes","vitest 5 / Node (local engine tests)","""12abc"", ""$12"", ""12ft"" are each explicitly asserted invalid. ""1/2"" is not separately asserted but is rejected by the identical non-digit-character regex mismatch.","tests/engine/parse.test.ts:40-49","""1/2"" is not a literal test input, but the same GRAMMAR regex path rejects it."
"CORE-005","Shared parsing and result state","P0","implemented","passed","tests/engine/parse.test.ts::CORE-parse > CORE-parse-01: blank/undefined/null are missing, never invalid or zero","vitest 5 / Node (local engine tests)","parseDecimalField("""") and parseDecimalField(""   "") both return {kind:""missing""}.","tests/engine/parse.test.ts:8-13",""
"CORE-006","Shared parsing and result state","P0","partial","not_run","","","No test asserts that a NEW estimate initializes an omitted direct-expense field to an explicit ""0"" while the same omission in an ACTUAL-review category remains null/unconfirmed. Only the actuals half is verified (ACT-01/ACT-03: confirmed=false or amount=null stays uncounted).","tests/engine/actuals.test.ts:11-25,41-51","The ""new estimate defaults to explicit zero"" half of this case has no equivalent test found anywhere in the suite."
"CORE-007","Shared parsing and result state","P0","not_run","not_run","","","No engine/domain test converts a UI percent input (e.g. ""35"") into a persisted ratio string (""0.35"") and then checks the resulting minimum price. The closest fixture (at-target) assumes targetRatio is already the string ""0.35"" and never exercises a percent-to-ratio conversion step.","tests/fixtures/acceptance-fixtures.json (at-target)","Percent-to-ratio persistence logic, if it exists in a UI component, was not located or tested."
"CORE-008","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::at-target (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-01","vitest 5 / Node (local engine tests)","evaluatePrice({cost:65, price:100, targetMarginRatio:.35}) returns profit 35.00, margin 35.0%, status exactly ""at_target"" (not above_target).","tests/fixtures/acceptance-fixtures.json (id=at-target); tests/engine/pricing.test.ts:11-14",""
"CORE-009","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::loss (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-07","vitest 5 / Node (local engine tests)","cost=100, price=85, target=.35 -> profit -15.00, margin -17.6%, status ""below_cost"" (takes precedence over below_target).","tests/fixtures/acceptance-fixtures.json (id=loss); tests/engine/pricing.test.ts:52-57",""
"CORE-010","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::unpriced (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02","vitest 5 / Node (local engine tests)","price=null, cost=100, target=.35 -> profit null, marginRatio null, status ""unpriced""; approxPrice/minimumTargetPrice still computed (153.85) with no invented zero-percent warning.","tests/fixtures/acceptance-fixtures.json (id=unpriced); tests/engine/pricing.test.ts:16-24",""
"CORE-011","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::no-charge (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02","vitest 5 / Node (local engine tests)","price=0 (explicit), cost=100, target=.35 -> profit -100.00 (NOT null), marginRatio null, status ""zero_price"".","tests/fixtures/acceptance-fixtures.json (id=no-charge); tests/engine/pricing.test.ts:16-24",""
"CORE-012","Shared parsing and result state","P0","implemented","not_run","","","margin(price, cost) = (price-cost)/price divides by PRICE, never by cost, so cost=0 poses no division-by-zero risk — confirmed by reading src/engine/pricing.ts. No fixture or unit test actually calls evaluatePrice/margin with cost=0.","src/engine/pricing.ts:33-36","Implementation is correct by formula inspection; add a deterministic cost=0 test to close the gap."
"CORE-013","Shared parsing and result state","P0","implemented","not_run","","","evaluatePrice's price.isZero() branch returns profit=cost.negated() (=0.00 when cost=0), marginRatio null, status ""zero_price"" — by code inspection this correctly avoids a NaN percentage. No test calls evaluatePrice with cost=0 AND price=0 together.","src/engine/pricing.ts:59-69",""
"CORE-014","Shared parsing and result state","P0","not_run","not_run","","","No test distinguishes a displayed 35.0% margin (rounded) from an underlying raw ""below_target"" status at a near-boundary cost such as 65.0001.","","Implementation likely correct (marginRatio is a full-precision Decimal; only toPercentString() rounds for display) but unverified."
"CORE-015","Shared parsing and result state","P0","not_run","not_run","","","No test distinguishes a displayed 35.0% margin from an underlying raw ""above_target"" status at a near-boundary cost such as 64.9999.","","Same gap as CORE-014, mirrored boundary side."
"CORE-016","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::rounding-target-boundary (price)","vitest 5 / Node (local engine tests)","cost=1, price=1.66, target=.40 -> profit 0.66, margin 39.8%, approxPrice 1.67, minimumPrice 1.67, status ""below_target"" — exact match to the case.","tests/fixtures/acceptance-fixtures.json (id=rounding-target-boundary)",""
"CORE-017","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::wall-service (service); tests/mutation/mutation.test.ts::MUTATION: round target price nearest instead of upward","vitest 5 / Node (local engine tests)","cost=0.794267 (wall-service fixture), target=.35 -> approxPrice (nearest-cent) 1.22 undershoots the target margin; minimumTargetPrice (ceiling-cent) 1.23 is the real, never-undershooting suggestion.","tests/fixtures/acceptance-fixtures.json (id=wall-service); tests/mutation/mutation.test.ts:30-42",""
"CORE-018","Shared parsing and result state","P0","implemented","passed","tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-05","vitest 5 / Node (local engine tests)","requiredPriceRaw(1000000, .9999999999) returns the literal string ""out_of_supported_range"", never Infinity or a thrown error. Hand-verified the same threshold triggers at cost=1 too: 1/(1-.9999999999)=1e10 > MAX_REQUIRED_PRICE (1e9).","src/engine/pricing.ts:13-21; tests/engine/pricing.test.ts:34-41","The test uses cost=1,000,000, not the case's cost=1; confirmed by manual arithmetic that the same rule/threshold applies at either cost since raw scales linearly with cost."
"CORE-019","Shared parsing and result state","P0","not_run","not_run","","","No test calls requiredPriceRaw/minimumTargetPrice with targetMarginRatio=0 to confirm required price equals cost exactly and minimum cents only round up when a fractional cent exists.","","requiredPriceRaw only guards target>=1 or target<0; target=0 falls through and computes raw=cost/(1-0)=cost by formula inspection, unverified by a test."
"CORE-020","Shared parsing and result state","P0","missing","not_run","","","parseDecimalField/parseCountField type their parameter as string|null|undefined and immediately call raw.trim(). At a real JS runtime boundary (e.g. a malformed JSON import handing in an object or array instead of a string), .trim() would throw a TypeError rather than returning a structured {kind:""invalid""} result. No import/boundary guard layer (typeof check before .trim()) was found anywhere in src/.","src/engine/parse.ts:30-33,83-86","Potential crash-on-malformed-input risk identified by code inspection only; not confirmed by actually invoking it with a non-string value."
"CORE-021","Shared parsing and result state","P0","missing","not_run","","","estimateAssembly.ts builds customPriceField = parseDecimalField(opts.customPriceRaw, {allowNegative:false}), which uses the DEFAULT maxFractionDigits of 10 — so a proposed/selling total of ""12.005"" is accepted, not rejected. No distinct 2-decimal-digit cap exists anywhere for a selling total.","src/domain/estimateAssembly.ts:194","Contradicts the case's ""reject excess precision; do not silently round typed selling total"" expectation; the same gap exists in the free EstimateTemplate.tsx tax-percent/price fields."
"CORE-022","Shared parsing and result state","P0","partial","not_run","","","EstimateTemplate.tsx's unitSellingPrice also uses parseDecimalField's default 10-fraction-digit cap (not exactly 4), so ""12.005"" is accepted and computeDocumentTotals correctly rounds each line's extension separately (verified by DOC-02), but the specific ""valid within FOUR fractional digits"" ceiling is never itself enforced or tested (any value up to 10 digits is currently accepted).","src/components/tools/EstimateTemplate.tsx:53-54; tests/engine/document.test.ts:16-30","Acceptance of 12.005 and correct per-line rounding is proven; the 4-digit boundary itself is untested and effectively unenforced (10-digit cap actually applies)."
"CORE-023","Shared parsing and result state","P0","implemented","passed","tests/engine/document.test.ts::DOC: free-document ledger and cost-breakdown reconciliation > COST-reconcile-01: mismatched rounded components surface an explicit adjustment row; tests/property/document.property.test.ts::PROPERTY 16","vitest 5 / Node (local engine tests)","reconcileDisplayedComponents([0.005, 0.005], 0.01) returns displayed=[""0.01"",""0.01""], displayedTotal=""0.01"", adjustment=""-0.01"" — exact match to the case.","tests/engine/document.test.ts:46-51",""
"CORE-024","Shared parsing and result state","P0","implemented","passed","tests/engine/document.test.ts::DOC: free-document ledger... > DOC-02: tax computes on the ROUNDED subtotal...; DOC-03 (mutation guard); tests/mutation/mutation.test.ts::MUTATION: round subtotal only, not each line, in the free document","vitest 5 / Node (local engine tests)","Two document lines of 12.005 each round independently to 12.01, subtotal 24.02 — no internal-cost-style rounding-adjustment row is applied to the free document ledger (a different code path than CORE-023's reconcileDisplayedComponents).","tests/engine/document.test.ts:16-30,32-44","Test uses the 12.005 magnitude rather than the case's bare 0.005, but exercises the identical per-line-rounding mechanism and conclusion."
"CORE-025","Shared parsing and result state","P0","implemented","passed","tests/engine/fixtures.test.ts::interior-walls-brief (interior)","vitest 5 / Node (local engine tests)","Raw hours 7.506667 (rounded for display purposes only) feeds laborCost 240.21 exactly; the displayed approximate 7.51 hours value never itself re-enters the cost computation.","tests/fixtures/acceptance-fixtures.json (id=interior-walls-brief)",""
"CORE-026","Shared parsing and result state","P0","implemented","passed","tests/engine/decimal.test.ts::CORE-026: HALF_UP rounds negative ties away from zero (symmetric), not toward +Infinity","vitest 5 / Node (local engine tests)","halfUp(-0.005, 2) -> ""-0.01""; halfUp(-0.015, 2) -> ""-0.02"" — symmetric away-from-zero tie behavior confirmed.","tests/engine/decimal.test.ts:6-13",""
"CORE-027","Shared parsing and result state","P0","implemented","not_run","","","assembleProjectEstimate() is a pure function recomputed from the full revision state on every call — clearing a required field naturally removes the prior ""complete"" result on the next recompute rather than caching a stale one. No dedicated reactive-recalculation test exists (would require a React component test; IMPLEMENTATION_DECISIONS.md notes no component test infra exists in this project).","src/domain/estimateAssembly.ts:144-219","Correct by architecture (no memoized/stale state anywhere in the pure calculation path), but not verified by an actual ""clear one field, recalc"" test."
"CORE-028","Shared parsing and result state","P0","implemented","not_run","","","checkIssueGate() pushes ""Estimate is not complete..."" and sets canIssue=false whenever revision.calculationState !== ""complete"". Every existing checkIssueGate call in the test suite uses an already-complete draft (canIssue:true); no test constructs an actual incomplete draft and confirms issuance is blocked while the draft itself still saves.","src/domain/project.ts:56-65; tests/integration/draftIssuedIsolation.test.ts:123-124","Implementation matches the spec by inspection; the specific ""incomplete draft blocks issue"" branch is untested."
"CORE-029","Shared parsing and result state","P0","implemented","not_run","","","assembleProjectEstimate returns incompleteResult() when enabledSurfaces.length===0, matching the separately-tested aggregator rule (""No enabled surfaces... treated as invalid/empty, not a zero-cost complete project""). No test removes ALL surfaces from a project that still carries a previously-entered custom price string and confirms that price string is retained (not cleared) for correction.","src/domain/estimateAssembly.ts:150-151; tests/engine/estimate.test.ts:123-130","The ""no complete estimate"" half is proven at the aggregator level; the ""retain custom price entry for correction"" half is unverified."
"CORE-030","Shared parsing and result state","P0","implemented","passed","tests/engine/decimal.test.ts::CORE-030: exact decimal arithmetic has no binary-float artifact","vitest 5 / Node (local engine tests)","new PEP(""0.1"").plus(""0.2"").toString() === ""0.3"" exactly, explicitly contrasted against native JS's 0.1+0.2 !== 0.3.","tests/engine/decimal.test.ts:15-27",""
"GEO-001","Geometry and paint aggregation","P0","implemented","passed","tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-01: rectangular gross wall area; GEO-02: ceiling area","vitest 5 / Node (local engine tests)","grossWallArea(20,16,9)=648; ceilingArea(20,16)=320 — both asserted (as two separate assertions in the same describe block).","tests/engine/geometry.test.ts:19-25",""
"GEO-002","Geometry and paint aggregation","P0","implemented","passed","tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-03: quick opening area...; GEO-05: net wall area = gross - openings when deduction enabled","vitest 5 / Node (local engine tests)","quickOpeningArea(2,20,3,15)=85; netWallArea(648,85,true)={valid:true, area:563}.","tests/engine/geometry.test.ts:27-29,37-41",""
"GEO-003","Geometry and paint aggregation","P0","implemented","passed","tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-06: deduction disabled ignores opening entries entirely","vitest 5 / Node (local engine tests)","netWallArea(648,85,false)={valid:true, area:648} — opening value ignored entirely when deduction is disabled.","tests/engine/geometry.test.ts:43-47",""
"GEO-004","Geometry and paint aggregation","P0","implemented","passed","tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-04: detailed opening area sums width*height*count, and 3x6.67 != 20","vitest 5 / Node (local engine tests)","detailedOpeningArea([{widthFt:3,heightFt:6.67,count:1}])=20.01, explicitly asserted NOT equal to the quick-mode 20.","tests/engine/geometry.test.ts:31-35",""
"GEO-005","Geometry and paint aggregation","P0","implemented","not_run","","","detailedOpeningArea's reduce multiplies width*height*count once per opening entry (by code inspection this cannot double-apply count), but the only existing test (GEO-04) uses count:1. No test passes count=3 to confirm the count multiplier is applied exactly once at a count greater than 1.","src/engine/geometry.ts:17-19",""
"GEO-006","Geometry and paint aggregation","P0","implemented","passed","tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-08: opening area exactly equal to gross wall area -> valid zero net area","vitest 5 / Node (local engine tests)","netWallArea(100,100,true)={valid:true, area:0} — exact-equality boundary produces a valid zero, not an error.","tests/engine/geometry.test.ts:56-60",""
"GEO-007","Geometry and paint aggregation","P0","implemented","not_run","","","netWallArea(100,150,true)={valid:false} is tested (openings exceed gross by 50), proving the "">gross -> invalid"" rule generally, but not at the case's precise ""exceeds by exactly 0.01"" boundary. Same code path, untested at that exact decimal precision.","tests/engine/geometry.test.ts:49-54",""
"GEO-008","Geometry and paint aggregation","P0","implemented","not_run","","","No test uses fractional room dimensions (12.5 x 10 x 8). grossWallArea is a generic Decimal-based formula that computes 360 correctly by inspection (12.5+10)*2*8=360, but this exact input combination is unverified by any test.","src/engine/geometry.ts:5-7",""
"GEO-009","Geometry and paint aggregation","P0","implemented","passed","tests/domain/estimateAssembly.test.ts::Suggested-price mode reports real profit/margin at the effective price (regression)","vitest 5 / Node (local engine tests)","A standalone wall surface (roomId:null, measurementMode:""manual"", areaFt2:""400"") completes to a ""complete"" calculationState with no room entity present at all.","tests/domain/estimateAssembly.test.ts:114-132","Test uses area 400, not the case's 563; identical manual-standalone-surface mechanism (no room dimensions required)."
"GEO-010","Geometry and paint aggregation","P0","implemented","passed","tests/engine/estimate.test.ts::Disabled-surface independence (mutation check...) > a disabled surface contributes zero to demand, labor, and cost","vitest 5 / Node (local engine tests)","One enabled wall + one disabled ceiling (area 99999, would clearly break totals if counted) still yields the same purchase totals as the wall alone.","tests/engine/estimate.test.ts:102-111","Test disables the ceiling with the wall enabled (opposite pairing to the case's ""walls disabled, ceiling enabled""); the enable/disable filter itself is kind-agnostic (surfaces.filter(s=>s.enabled)), so the same mechanism is exercised regardless of which kind is disabled."
"GEO-011","Geometry and paint aggregation","P0","implemented","passed","tests/mutation/mutation.test.ts::MUTATION: ceil paint per room instead of per project; tests/engine/fixtures.test.ts::pool-same-product (paint)","vitest 5 / Node (local engine tests)","Two same-variant 1.2-gal demands pool to 2.4 raw gallons, ceiling ONCE to 3 purchased gallons (not 4, which per-room ceiling would wrongly produce).","tests/mutation/mutation.test.ts:82-92; tests/fixtures/acceptance-fixtures.json (id=pool-same-product)",""
"GEO-012","Geometry and paint aggregation","P0","implemented","passed","tests/mutation/mutation.test.ts::MUTATION: pool different colors; tests/engine/fixtures.test.ts::separate-colors (paint)","vitest 5 / Node (local engine tests)","White 1.2 gal + blue 1.2 gal purchase separately as 2+2=4 gallons total, never pooled into a wrongly-shared ceil(2.4)=3.","tests/mutation/mutation.test.ts:94-105; tests/fixtures/acceptance-fixtures.json (id=separate-colors)",""
"GEO-013","Geometry and paint aggregation","P0","implemented","passed","tests/property/paint.property.test.ts::PROPERTY 8: pooling inequality (same variant only) > never applies across different variants...","vitest 5 / Node (local engine tests)","aggregateRawDemandByVariant keys strictly on the paintVariantId string and never reads name/color/sheen — proven by the white/blue non-pooling assertion, which is the same code path a ""same name/color, different sheen ID"" pair would take.","tests/property/paint.property.test.ts:70-81","No fixture literally uses a same-name/color-different-sheen pair, but the aggregator has no code path that inspects anything but the variant ID, so the mechanism is provably identical."
"GEO-014","Geometry and paint aggregation","P0","missing","not_run","","","createSnapshot() deep-copies whatever paintVariants array it is given (structuredClone) with no duplicate-ID or conflicting-value check at all. Nothing in src/domain/snapshot.ts (or anywhere else searched) validates that a single variant ID maps to a single consistent set of values.","src/domain/snapshot.ts:14-32","No validation exists to reject a snapshot containing two conflicting records under the same variant ID; this looks unimplemented rather than merely untested."
"GEO-015","Geometry and paint aggregation","P0","implemented","not_run","","","No test exercises two same-variant surfaces with DIFFERENT coats (1 vs 3) pooling to a combined 4-gallon demand; rawDemandGal is coats-parameterized per surface by design (aggregateProjectSurfaces calls it once per surface with that surface's own coats), but this specific input combination is unverified.","src/engine/estimate.ts:104-110",""
"GEO-016","Geometry and paint aggregation","P0","implemented","not_run","","","No test exercises two same-variant surfaces with DIFFERENT waste ratios (0 and 0.2) pooling to a combined 2.2-gallon raw demand / 3-gallon purchase.","src/engine/estimate.ts:104-110",""
"GEO-017","Geometry and paint aggregation","P0","implemented","passed","tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint)","vitest 5 / Node (local engine tests)","purchasedGallons(3) === 3 exactly (the ""exact"" demand in the exact-purchase-boundaries fixture).","tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries)",""
"GEO-018","Geometry and paint aggregation","P0","implemented","passed","tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands","vitest 5 / Node (local engine tests)","purchasedGallons(2.9999999999) === 3 — genuinely under 3, no epsilon leniency needed or applied.","tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries); tests/mutation/mutation.test.ts:107-115",""
"GEO-019","Geometry and paint aggregation","P0","implemented","passed","tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands","vitest 5 / Node (local engine tests)","purchasedGallons(3.0000000001) === 4; the mutation test proves a naive epsilon-subtraction hack would wrongly return 3, so the real implementation's exact-decimal comparison is confirmed.","tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries); tests/mutation/mutation.test.ts:107-115",""
