case_id,file,test_name,status
DET-0001,tests/domain/aggregateLimits.test.ts,"AGG-001: aggregate raw paint demand / purchased gallons beyond the supported range is a structured invalid result, never Infinity/NaN > an individually-valid-but-tiny catalog coverage combined with the max allowed area inflates raw demand past the cap -> invalid, outOfSupportedRange, no aggregate/materials computed",passed
DET-0002,tests/domain/aggregateLimits.test.ts,"AGG-001: aggregate raw paint demand / purchased gallons beyond the supported range is a structured invalid result, never Infinity/NaN > the same shape just inside the cap still computes a real complete result (proves this is a genuine boundary, not an overly aggressive rejection)",passed
DET-0003,tests/domain/aggregateLimits.test.ts,AGG-002: aggregate labor hours beyond the supported range is a structured invalid result > the max allowed area at the minimum allowed positive throughput inflates total labor hours past the cap,passed
DET-0004,tests/domain/aggregateLimits.test.ts,"AGG-003: aggregate monetary totals (materials, labor cost, direct cost, overhead, job cost) beyond the supported range are structured invalid results > materials cost: a large purchase at the maximum catalog price per gallon exceeds the cap even though area/coverage/price are each individually valid",passed
DET-0005,tests/domain/aggregateLimits.test.ts,"AGG-003: aggregate monetary totals (materials, labor cost, direct cost, overhead, job cost) beyond the supported range are structured invalid results > labor cost: hours within the aggregate-hours cap at the maximum rate still exceeds the monetary cap",passed
DET-0006,tests/domain/aggregateLimits.test.ts,"AGG-003: aggregate monetary totals (materials, labor cost, direct cost, overhead, job cost) beyond the supported range are structured invalid results > a custom entered price beyond the cap is rejected as an ordinary invalid field -- never becomes a plausible issueable price",passed
DET-0007,tests/domain/aggregateLimits.test.ts,"AGG-003: aggregate monetary totals (materials, labor cost, direct cost, overhead, job cost) beyond the supported range are structured invalid results > a custom price exactly at the cap is accepted (proves the boundary is exact, not overly aggressive)",passed
DET-0008,tests/domain/aggregateLimits.test.ts,"AGG-003: aggregate monetary totals (materials, labor cost, direct cost, overhead, job cost) beyond the supported range are structured invalid results > GENUINE GAP: a job cost within the new aggregate cap can still make requiredPriceRaw itself report out_of_supported_range at an extreme target margin -- this must surface as invalid, never a ""complete"" result with a silently-null price",passed
DET-0009,tests/domain/aggregateLimits.test.ts,"AGG-004: draft-saving and the issue gate treat an out-of-supported-range result exactly like any other invalid calculation > checkIssueGate blocks issuing an out-of-range revision with the same ""not complete"" reason as any other invalid calculation",passed
DET-0010,tests/domain/aggregateLimits.test.ts,"AGG-004: draft-saving and the issue gate treat an out-of-supported-range result exactly like any other invalid calculation > nothing in assembleProjectEstimate's out-of-range path prevents a revision from being constructed/stored as a draft -- calculationState is just a field, never a precondition for the object to exist",passed
DET-0011,tests/domain/aggregateLimits.test.ts,"AGG-005: an actual-cost review total beyond the supported range is a structured invalid/blocked state, not a silently huge ""final"" number > four confirmed categories each individually within the monetary cap can still sum past it -- the total must never be reported as a plausible final figure",passed
DET-0012,tests/domain/aggregateLimits.test.ts,"AGG-005: an actual-cost review total beyond the supported range is a structured invalid/blocked state, not a silently huge ""final"" number > the same shape just inside the cap still finalizes normally (proves this is a genuine boundary)",passed
DET-0013,tests/domain/aggregateLimits.test.ts,"AGG-006: a previously-issued frozen document with an aggregate that would exceed TODAY's cap still renders exactly as recorded -- frozen output is never re-validated > buildCustomerDocument never inspects proposedPrice's magnitude at all -- an old frozen total (however large) passes through unchanged, matching the same ""issued data is exempt"" principle as BACK-026's engine-version gate",passed
DET-0014,tests/domain/backup.test.ts,"BACK-D07: exportBackup preserves accumulated importProvenance, never resets it (item 6) > REGRESSION: a real, non-empty existing provenance list is included in the export, not silently wiped to []",passed
DET-0015,tests/domain/backup.test.ts,"BACK-D07: exportBackup preserves accumulated importProvenance, never resets it (item 6) > defaults to an empty list when the installation has no accumulated provenance yet",passed
DET-0016,tests/domain/backup.test.ts,BACK-D11: validation rejects before any write > rejects a wrong/missing schemaVersion,passed
DET-0017,tests/domain/backup.test.ts,BACK-D11: validation rejects before any write > rejects an oversized file before parsing further,passed
DET-0018,tests/domain/backup.test.ts,BACK-D11: validation rejects before any write > rejects duplicate paint variant IDs,passed
DET-0019,tests/domain/backup.test.ts,BACK-D11: validation rejects before any write > rejects a project revision missing its embedded rate snapshot (dangling reference),passed
DET-0020,tests/domain/backup.test.ts,BACK-D11: validation rejects before any write > accepts a well-formed envelope,passed
DET-0021,tests/domain/backup.test.ts,BACK-015: an actual-review baseline pointing at a missing revision is a dangling reference > rejects an actualReview whose baselineIssuedRevisionId does not match any revision in the same project,passed
DET-0022,tests/domain/backup.test.ts,BACK-015: an actual-review baseline pointing at a missing revision is a dangling reference > accepts an actualReview whose baseline correctly matches an existing ISSUED revision,passed
DET-0023,tests/domain/backup.test.ts,"V5-06 (related path): import validation of rawCalculatedOutputs, previously never checked at all > rejects an imported revision whose rawCalculatedOutputs contains a NaN jobCost",passed
DET-0024,tests/domain/backup.test.ts,"V5-06 (related path): import validation of rawCalculatedOutputs, previously never checked at all > accepts a null rawCalculatedOutputs (a draft, or an issued revision predating the freeze mechanism)",passed
DET-0025,tests/domain/backup.test.ts,"V5-06 (related path): import validation of rawCalculatedOutputs, previously never checked at all > accepts a well-formed rawCalculatedOutputs, including a negative profit/margin (a real loss)",passed
DET-0026,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a paint variant with a negative price",passed
DET-0027,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a paint variant with a non-decimal price scalar",passed
DET-0028,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a revision with an unknown state enum value",passed
DET-0029,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a revision with a negative proposedPrice",passed
DET-0030,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > a null proposedPrice (genuinely unpriced) is still accepted — null is not the same as invalid",passed
DET-0031,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a numeric field holding an object instead of a decimal string",passed
DET-0032,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a numeric field holding an array instead of a decimal string",passed
DET-0033,tests/domain/backup.test.ts,"BACK-020: unknown enums, negative costs, and non-decimal scalars in imported financial data are rejected, never silently coerced > rejects a numeric field holding a boolean instead of a decimal string",passed
DET-0034,tests/domain/backup.test.ts,"BACK-D09: restore/merge — identical skip, new add, conflicting requires a choice (default keep-local) > an identical existing project is skipped, not duplicated",passed
DET-0035,tests/domain/backup.test.ts,"BACK-D09: restore/merge — identical skip, new add, conflicting requires a choice (default keep-local) > a brand-new project ID is added",passed
DET-0036,tests/domain/backup.test.ts,"BACK-D09: restore/merge — identical skip, new add, conflicting requires a choice (default keep-local) > same ID, different content -> a conflict defaulting to keep-local (never auto timestamp-wins)",passed
DET-0037,tests/domain/backup.test.ts,"BACK-D09: restore/merge — identical skip, new add, conflicting requires a choice (default keep-local) > D09 repeated identical restore -> zero duplicates on a second run",passed
DET-0038,tests/domain/backup.test.ts,"BACK-COMPLETE: full schema validation (item 5) — null entries, wrong types, missing fields, duplicate IDs, invalid settings, zero coverage, dangling references, draft-targeting actual reviews > a null entry inside projects[].revisions[] is rejected with a structured error, never an uncaught exception",passed
DET-0039,tests/domain/backup.test.ts,"BACK-COMPLETE: full schema validation (item 5) — null entries, wrong types, missing fields, duplicate IDs, invalid settings, zero coverage, dangling references, draft-targeting actual reviews > a null entry inside a revision surfaces[] array is rejected without throwing",passed
DET-0040,tests/domain/backup.test.ts,"BACK-COMPLETE: full schema validation (item 5) — null entries, wrong types, missing fields, duplicate IDs, invalid settings, zero coverage, dangling references, draft-targeting actual reviews > a wrong-typed business settings field (overheadRatio as a number, not a decimal string) is rejected",passed
