requirement_id,tool_subsystem,source_doc_section,required_behavior,implementation_location,automated_test_reference,status,evidence_and_remaining_work
CORE-001,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Required loadedHourlyRate=null on enabled surface WHEN Validate and calculate THEN state=incomplete; field path identifies missing rate; no final cost/margin or issueable output.,src/domain/estimateAssembly.ts (resolveSurface hourlyRateField check),tests/domain/coreRequirements.test.ts,verified,"Confirming test added: a surface with no loadedHourlyRate override and no settings default reports incomplete (not invalid, not a crash), names the surface in reasons, and produces no price/jobCost. Implementation was already correct; only the test was missing. No remaining work."
CORE-002,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Required cost field contains -1 WHEN Validate directly at engine boundary THEN state=invalid; retain raw field text in UI; do not replace with zero.,src/engine/parse.ts:56-64,tests/domain/coreRequirements.test.ts; tests/engine/parse.test.ts:60-62,verified,"Confirming test added asserting the specific missing half: parseDecimalField(""-1"") returns kind=invalid, code=negative_not_allowed, AND rawText=""-1"" (the raw text is retained for the UI, never coerced to a valid zero). No remaining work."
CORE-003,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Input values NaN, positive infinity, negative infinity (parameterized) WHEN Call validation directly, bypass UI THEN Reject each as invalid; persisted output contains no nonfinite number.",tests/engine/parse.test.ts:69-72,tests/engine/parse.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-003), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/parse.test.ts. Prior evidence: "
CORE-004,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Input text 12abc, $12, 12ft, 1/2 (parameterized) WHEN Parse user numeric input THEN Reject each as malformed plain decimal; never parse prefix or mixed units.",tests/engine/parse.test.ts:40-49,tests/engine/parse.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-004), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/parse.test.ts. Prior evidence: ""1/2"" is not a literal test input, but the same GRAMMAR regex path rejects it."
CORE-005,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Required input empty string or whitespace-only WHEN Parse then validate THEN Missing/incomplete rather than explicit numeric zero.,tests/engine/parse.test.ts:8-13,tests/engine/parse.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-005), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/parse.test.ts. Prior evidence: "
CORE-006,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Optional omitted direct expense in new estimate WHEN Initialize model THEN Explicit zero default; same omission in actual category remains null/unconfirmed.,src/components/tools/jobCostCalculatorLogic.ts:103 (new-estimate optional field defaults to 0); src/engine/actuals.ts (actual-category confirmed/amount trichotomy),tests/ui/jobCostCalculatorLogic.test.ts; tests/engine/actuals.test.ts,verified,"Confirming tests added for both halves: a blank travelAmount in a NEW job-cost estimate reaches a complete result with an explicit $0 contribution (jobCostCalculatorLogic.test.ts); the same-shaped omission in an ACTUAL-review category (confirmed:false, amount:null) stays null and blocks finalization, contrasted directly against an explicitly-confirmed zero in the same category which DOES finalize (actuals.test.ts). No remaining work."
CORE-007,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN User enters target 35 in percent UI WHEN Persist and calculate cost65 THEN targetMarginRatio='0.35'; minimum price100.00; no double division by100.,src/components/tools/jobCostCalculatorLogic.ts:139 (targetRatio = pTargetPct.value.dividedBy(100)),tests/domain/coreRequirements.test.ts,verified,"Confirming test added: entering 35 in the percent-based Target margin field on a $65 cost computes a minimum target price of exactly $100.00 (65/0.65), proving the percent-to-ratio conversion divides by 100 exactly once, not twice and not zero times. No remaining work."
CORE-008,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost65,target.35,price100 WHEN Calculate THEN profit35.00; margin35.0%; status at_target, not above_target.",tests/fixtures/acceptance-fixtures.json (id=at-target); tests/engine/pricing.test.ts:11-14,"tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-008), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts. Prior evidence: "
CORE-009,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost100,price85,target.35 WHEN Calculate THEN profit-15.00; margin-17.6%; below_cost takes precedence over below_target.",tests/fixtures/acceptance-fixtures.json (id=loss); tests/engine/pricing.test.ts:52-57,"tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-009), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts. Prior evidence: "
CORE-010,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost100,price=null WHEN Calculate THEN profit=null;margin=null;unpriced; no invented zero-percent warning.",tests/fixtures/acceptance-fixtures.json (id=unpriced); tests/engine/pricing.test.ts:16-24,"tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-010), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts. Prior evidence: "
