case_id,requirement,unique_or_duplicate,executable_test_or_fixture,expected_result_source,execution_status,defect_discovered
CORE-001,GIVEN Required loadedHourlyRate=null on enabled surface WHEN Validate and calculate THEN state=incomplete; field path identifies missing rate; no final cost/margin or issueable output.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-002,GIVEN Required cost field contains -1 WHEN Validate directly at engine boundary THEN state=invalid; retain raw field text in UI; do not replace with zero.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-003,"GIVEN Input values NaN, positive infinity, negative infinity (parameterized) WHEN Call validation directly, bypass UI THEN Reject each as invalid; persisted output contains no nonfinite number.",unique,tests/engine/parse.test.ts::CORE-parse: missing vs invalid vs valid-zero > BOUND-grammar-reject: NaN/Infinity text,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-004,"GIVEN Input text 12abc, $12, 12ft, 1/2 (parameterized) WHEN Parse user numeric input THEN Reject each as malformed plain decimal; never parse prefix or mixed units.",unique,"tests/engine/parse.test.ts::CORE-parse > BOUND-grammar-reject: mixed unit text (""12abc"") is invalid, not zero; BOUND-grammar-reject: currency/unit suffixes",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-005,GIVEN Required input empty string or whitespace-only WHEN Parse then validate THEN Missing/incomplete rather than explicit numeric zero.,unique,"tests/engine/parse.test.ts::CORE-parse > CORE-parse-01: blank/undefined/null are missing, never invalid or zero",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-006,GIVEN Optional omitted direct expense in new estimate WHEN Initialize model THEN Explicit zero default; same omission in actual category remains null/unconfirmed.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-007,GIVEN User enters target 35 in percent UI WHEN Persist and calculate cost65 THEN targetMarginRatio='0.35'; minimum price100.00; no double division by100.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-008,"GIVEN Valid cost65,target.35,price100 WHEN Calculate THEN profit35.00; margin35.0%; status at_target, not above_target.",unique,tests/engine/fixtures.test.ts::at-target (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-01,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-009,"GIVEN Valid cost100,price85,target.35 WHEN Calculate THEN profit-15.00; margin-17.6%; below_cost takes precedence over below_target.",unique,tests/engine/fixtures.test.ts::loss (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-07,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-010,"GIVEN Valid cost100,price=null WHEN Calculate THEN profit=null;margin=null;unpriced; no invented zero-percent warning.",unique,tests/engine/fixtures.test.ts::unpriced (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-011,"GIVEN Valid cost100,price0 WHEN Calculate THEN profit-100.00;margin=null;zero_price; priced issue needs no-charge confirmation.",unique,tests/engine/fixtures.test.ts::no-charge (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-012,"GIVEN Valid cost0,price100 WHEN Calculate THEN profit100.00;margin100.0%; no division by cost in margin formula.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-013,"GIVEN Valid cost0,price0 WHEN Calculate THEN profit0.00;margin=null; zero_price, not a NaN percentage.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-014,"GIVEN Valid cost65.0001,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw below_target; do not compare formatted percentages.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-015,"GIVEN Valid cost64.9999,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw above_target.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
