scenario_id,scenario,independent_path_a,independent_path_b,test_reference,result,notes
PARITY-01,Free job-cost calculator vs. core cost/pricing engine,evaluateJobCost() (free tool input-parsing layer),docs/acceptance-fixtures.json::job-original-brief (oracle-validated),tests/parity/crossToolParity.test.tsx::PARITY-01,PASS,
PARITY-02,Free interior calculator vs. Pro room/surface estimate,Rendered InteriorCalculator component (testing-library),"aggregateProjectSurfaces() manual-mode wall, both vs. acceptance-fixtures.json::interior-walls-brief",tests/parity/crossToolParity.test.tsx::PARITY-02,PASS,
PARITY-03,Free-to-Pro handoff vs. original free-tool inputs,buildProjectFromInteriorHandoff() + assembleProjectEstimate(),docs/acceptance-fixtures.json::interior-walls-brief (oracle-validated),tests/parity/crossToolParity.test.tsx::PARITY-03,PASS,"Test bug found+fixed: handoff-minted variant must be added to the revision snapshot before assembly, matching the real caller."
PARITY-04,Pro estimate summary vs. issued customer-document total,assembleProjectEstimate().effectivePrice,computeDocumentTotals() total for a one-line document at that price,tests/parity/crossToolParity.test.tsx::PARITY-04,PASS,
PARITY-05,"Pro estimate vs. Price Book Health, identical assumptions",aggregateProjectSurfaces() per-unit materials/labor,computeServiceUnitCost() continuous per-unit rate incl. overhead,tests/parity/crossToolParity.test.tsx::PARITY-05,PASS,"Test bug found+fixed: area=1 hits Pro whole-gallon purchase rounding, not comparable to Health's continuous rate; switched to area=350/waste=0. modeledCostPerUnit includes overheadRatio markup, not just direct cost."
PARITY-06,Estimate job-cost baseline vs. actual-review baseline,assembleProjectEstimate().jobCost,evaluateActualReview().baselineCost / totalVariance (hand-computed),tests/parity/crossToolParity.test.tsx::PARITY-06,PASS,
PARITY-07,Saved/reopened estimate vs. original in-memory calculation,assembleProjectEstimate() pre-round-trip,assembleProjectEstimate() post JSON.stringify/parse round-trip,tests/parity/crossToolParity.test.tsx::PARITY-07,PASS,
PARITY-08,Exported/restored project vs. pre-export calculation,assembleProjectEstimate() pre-export,assembleProjectEstimate() post exportBackup->JSON round-trip->validateBackupEnvelope,tests/parity/crossToolParity.test.tsx::PARITY-08,PASS,
PARITY-09,Import-as-copy vs. original calculation,assembleProjectEstimate() on source,assembleProjectEstimate() on planImportAsCopies() copy,tests/parity/crossToolParity.test.tsx::PARITY-09,PASS,"Test bug found+fixed: two independently-constructed sequentialIdSource() instances both start at ""test-id-1"" -- must share one id source across source+copy construction to get a genuine (not coincidental) id-collision check."
PARITY-10,Rate refresh + undo vs. exact pre-refresh result,assembleProjectEstimate() pre-refresh,assembleProjectEstimate() post applyRateRefresh()->undoRateRefresh(),tests/parity/crossToolParity.test.tsx::PARITY-10,PASS,"One fixed deterministic instance; PROPERTY 17 (tests/property/hardening.property.test.ts) covers this with 13,000 randomized instances."
PARITY-11,Room/surface reorder vs. pre-reorder totals/IDs,"assembleProjectEstimate() + surface id set, pre-reorder","assembleProjectEstimate() + surface id set, post moveSurfaceWithinGroup()",tests/parity/crossToolParity.test.tsx::PARITY-11,PASS,
PARITY-12,Issued frozen revision vs. later live changes,freezeCalculatedOutputs() stored jobCost at issue time,A fresh draft assembled after changing loadedHourlyRate,tests/parity/crossToolParity.test.tsx::PARITY-12,PASS,
