mutant_id,file,location,mutator,status,classification,test_reference,justification
101,src/engine/parse.ts,112:23-112:40,ConditionalExpression,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (parseCountField(null) assertion),"Guard `raw === null || raw === undefined` mutated to `false`. Hand-applying this mutation and running tests/engine/parse.test.ts directly (bypassing Stryker) fails immediately with `Cannot read properties of null (reading 'trim')`. Stryker's own vitest-runner reported 82 tests run, 0 failed -- contradicted by direct execution. Same tool-defect family as stryker-mutator/stryker-js#6210 (patched) but a second, narrower residual case; documented rather than further root-caused (diminishing returns chasing third-party tool internals)."
127,src/engine/parse.ts,119:7-119:29,ConditionalExpression,Survived,confirmed Stryker/Vitest tool error,tests/domain/boundaryFieldAcceptance.test.ts,"Guard `opts.min !== undefined && n < opts.min` mutated to `true`. Hand-applying and running tests/domain/boundaryFieldAcceptance.test.ts directly fails 4 existing tests immediately. Stryker reported Survived (77 tests, 0 failed) -- contradicted by direct execution."
140,src/engine/parse.ts,122:7-122:29,ConditionalExpression,Survived,confirmed Stryker/Vitest tool error,tests/domain/boundaryFieldAcceptance.test.ts,"Guard `opts.max !== undefined && n > opts.max` mutated to `true`. Hand-applying and running tests/domain/boundaryFieldAcceptance.test.ts directly fails 4 existing tests immediately. Stryker reported Survived (76 tests, 0 failed) -- contradicted by direct execution."
161,src/engine/parse.ts,142:43-142:65,ConditionalExpression,Survived,confirmed Stryker/Vitest tool error,tests/domain/estimateAssembly.test.ts,"isValidOpeningCount's range sub-expression mutated to `true`. Hand-applying and running tests/domain/estimateAssembly.test.ts directly fails 5 existing tests immediately. Stryker reported Survived (27 tests, 0 failed) -- contradicted by direct execution."
164,src/engine/parse.ts,149:45-149:58,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MIN_POSITIVE_DIVISOR = new PEP('0.000000001') string literal mutated to ''. This is a module-load-time constant; the mutation crashes `new PEP('')` at import time ([DecimalError] Invalid argument), which every test file that transitively imports parse.ts would fail to even load. Stryker reported Survived with 0 tests completed -- the most extreme possible unmissable-kill-gone-unreported case. Hand-applying the mutation and running any test file directly confirms the import-time crash."
165,src/engine/parse.ts,150:43-150:55,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_MONETARY_INPUT module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as MIN_POSITIVE_DIVISOR (id 164) -- new PEP('') throws at module load, failing the entire test file's import chain. Stryker reported Survived/Timeout despite this; hand-verified crash on direct application."
166,src/engine/parse.ts,151:48-151:57,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MONETARY_WARN_THRESHOLD module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
167,src/engine/parse.ts,152:43-152:55,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_REQUIRED_PRICE module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
168,src/engine/parse.ts,160:34-160:37,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_RATIO module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
169,src/engine/parse.ts,161:46-161:54,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_ROOM_DIMENSION_FT module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
170,src/engine/parse.ts,162:37-162:49,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_AREA_FT2 module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
171,src/engine/parse.ts,163:43-163:52,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_TRIM_LENGTH_FT module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
172,src/engine/parse.ts,164:34-164:43,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_HOURS module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
173,src/engine/parse.ts,165:33-165:42,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_RATE module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
175,src/engine/parse.ts,216:46-216:58,StringLiteral,Survived,confirmed Stryker/Vitest tool error,tests/engine/parse.test.ts (module import chain),"MAX_AGGREGATE_GALLONS module-load-time constant string literal mutated to ''. Same import-time-crash tool-error class as id 164 -- hand-verified crash on direct application."
82,src/engine/parse.ts,101:63-101:103,StringLiteral,Survived,mathematically equivalent,tests/engine/parse.test.ts (asserts .code, not .message),"parseDecimalField's below_minimum error-message prose mutated. `code` and `message` are returned on the same source line as one object literal, so Stryker's line-scoped `// Stryker disable next-line` directive cannot suppress the message mutant without also silencing the already-tested, already-killed `code:'below_minimum'` mutant on that identical line. No test or production code path branches on the message string's content -- only `.code` is asserted anywhere in the codebase -- so no input can distinguish the mutated and unmutated behavior. Left undisabled and documented rather than reformatting otherwise-correct code purely to satisfy the mutation tool."
92,src/engine/parse.ts,104:63-104:102,StringLiteral,Survived,mathematically equivalent,tests/engine/parse.test.ts (asserts .code, not .message),"parseDecimalField's above_maximum error-message prose mutated. Same code+message-share-one-line situation as id 82 -- no test or caller inspects the message string, only `.code`. Mathematically equivalent for identical reason."
136,src/engine/parse.ts,120:63-120:103,StringLiteral,Survived,mathematically equivalent,tests/engine/parse.test.ts (asserts .code, not .message),"parseCountField's below_minimum error-message prose mutated. Same code+message-share-one-line situation as id 82 -- no test or caller inspects the message string, only `.code`. Mathematically equivalent for identical reason."
149,src/engine/parse.ts,123:63-123:102,StringLiteral,Survived,mathematically equivalent,tests/engine/parse.test.ts (asserts .code, not .message),"parseCountField's above_maximum error-message prose mutated. Same code+message-share-one-line situation as id 82 -- no test or caller inspects the message string, only `.code`. Mathematically equivalent for identical reason."
