case_id,area,priority,implementation_status,execution_status,test_ref,environment,observed_result,evidence_location,notes
CAT-001,Pro business settings and catalog,P0,implemented,not_run,,,,src/domain/estimateAssembly.ts (resolveSurface hourly-rate validation); src/domain/project.ts (checkIssueGate sampleAssumptionsConfirmed),"An invalid/missing loadedHourlyRate is rejected rather than silently substituted, and issuing is gated on sampleAssumptionsConfirmed — both by code reading. No test constructs an incomplete BusinessSettings object to confirm the block."
CAT-002,Pro business settings and catalog,P0,partial,not_run,,,,src/components/tools/pro/ProApp.tsx line 433 (sample-assumptions confirmation checkbox),"The confirmation checkbox exists and gates checkIssueGate, but no label audit or test confirms the absence of ""industry-validated production rates"" claims anywhere in the UI copy."
CAT-003,Pro business settings and catalog,P0,implemented,passed,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (both sub-tests)",vitest 5 / Node,Purchases are grouped strictly by paintVariantId (a Map keyed by id); two different variants are never merged or confused regardless of other attributes.,tests/engine/estimate.test.ts,"The existing test does not use two variants sharing the same NAME (as CAT-003 specifies); the ID-based grouping mechanism is unaffected by name, but that literal input combination is unexercised."
CAT-004,Pro business settings and catalog,P0,implemented,passed,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (same tests as CAT-003)",vitest 5 / Node,Same evidence as CAT-003: grouping key is exclusively paintVariantId.,tests/engine/estimate.test.ts; src/engine/estimate.ts; src/engine/paint.ts,"No name/price comparison exists anywhere in the paint-aggregation code, so merging two variants by name+price is structurally impossible, but no test uses this specific same-name-same-price-different-coverage combination."
CAT-005,Pro business settings and catalog,P0,implemented,passed,"tests/domain/lifecycle.test.ts::""LIFE-D01: draft snapshot survives a live catalog edit""",vitest 5 / Node,A draft created against paint $42 kept $42 after the live catalog changed to $49; a brand-new draft built after the change correctly saw $49.,tests/domain/lifecycle.test.ts,Identical evidence to LIFE-001 (same underlying mechanism/test).
CAT-006,Pro business settings and catalog,P0,implemented,passed,"tests/domain/lifecycle.test.ts::""LIFE-D02"" (issued-revision immutability); tests/integration/draftIssuedIsolation.test.ts (step 11)",vitest 5 / Node,"An issued revision object, including its activeRateSnapshot and customerDocumentSnapshot, was proven byte-identical (toEqual against a pre-captured JSON snapshot) after later live-catalog/draft changes.",tests/domain/lifecycle.test.ts; tests/integration/draftIssuedIsolation.test.ts,"The tests changed a variant’s PRICE, not its NAME, but activeRateSnapshot is frozen as one whole object via structuredClone with no per-field special-casing, so the same guarantee structurally applies to a rename."
CAT-007,Pro business settings and catalog,P0,partial,not_run,"tests/domain/rateRefresh.test.ts::""flags a variant that was deleted from the live catalog but is still referenced by a surface""",vitest 5 / Node,"""Draft resolves snapshot"" is solidly covered: assembleProjectEstimate only ever reads revision.activeRateSnapshot, never the live catalog, and previewRateRefresh correctly detects a variant deleted from the live catalog while still used by a surface.",tests/domain/rateRefresh.test.ts; src/domain/estimateAssembly.ts,"""Live service incomplete until corrected"" (a Price Book Health service referencing a deleted variant) was not verified in the time available — no test or clearly-identified validation path was found for that half of the claim."
CAT-008,Pro business settings and catalog,P0,missing,not_run,,,,"docs/IMPLEMENTATION_DECISIONS.md (""Known simplifications"" section)","The project’s own documentation states: ""Business-settings 'refresh service defaults'... flows... are not built as interactive UI (no confirmation dialog)... the explicit refresh action itself isn't wired up yet."" No ""refresh-defaults preview"" feature exists."
CAT-009,Pro business settings and catalog,P0,implemented,passed,"tests/domain/lifecycle.test.ts::""LIFE-D01"" (snapshot-freeze mechanism); docs/IMPLEMENTATION_DECISIONS.md item 3",vitest 5 / Node,"The businessSettings sub-object (including overheadRatio/targetMarginRatio) is frozen into a snapshot the same way loadedHourlyRate/pricePerGal are proven to be frozen (single structuredClone of the whole object, no per-field logic); IMPLEMENTATION_DECISIONS.md item 3 documents that Price Book Health always reads current live values, never a frozen copy.",tests/domain/lifecycle.test.ts; docs/IMPLEMENTATION_DECISIONS.md,"No test changes settings.overheadRatio specifically and re-inspects an old revision; this is inferred from the same generic, field-agnostic snapshot mechanism tested for loadedHourlyRate/pricePerGal."
CAT-010,Pro business settings and catalog,P0,missing,not_run,,,,src/domain/project.ts line 32; src/components/tools/pro/ProApp.tsx line 34,"GENUINE GAP FOUND: createDraftRevision hardcodes suppliesAllowance to {mode:""none"", amount:""0"", ratio:""0""} regardless of settings.defaultSuppliesAllowance's actual value. Grep confirms defaultSuppliesAllowance is never read anywhere outside its own definition in ProApp.tsx's DEFAULT_SETTINGS constant — editing this default currently has NO effect on any newly created draft."
CAT-011,Pro business settings and catalog,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""",vitest 5 / Node,resolveSurface’s variantIds.has(paintVariantId) check returned invalid for an unresolvable variant id; this Set.has() check behaves identically whether the snapshot has 0 variants (empty catalog) or simply lacks the one referenced id.,tests/domain/estimateAssembly.test.ts,"No test literally uses a zero-variant (empty) catalog; the existing test uses a 2-variant snapshot missing the referenced id, which is functionally identical to the Set.has() check failing."
CAT-012,Pro business settings and catalog,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""; src/components/tools/pro/ProApp.tsx line 118",vitest 5 / Node,"""unspecified"" is confirmed as a real, currently-used placeholder value for a new catalog entry's color field; all pooling/grouping in the aggregation code is by variant id alone, never by color/sheen value.",tests/domain/estimateAssembly.test.ts; src/components/tools/pro/ProApp.tsx,"No dedicated test constructs two variants both explicitly labeled color:""unspecified"" to confirm they remain separate purchases; inferred from the same ID-only grouping mechanism used throughout."
PRO-001,Pro surfaces and summary,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""PRO-001 through the domain assembly: wall and ceiling in the SAME room use DIFFERENT variants > produces two separate purchases, one per variant""; also tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room""",vitest 5 / Node,"Wall (paint-white) and ceiling (paint-blue) in one room produced two independent purchase entries (3 gal white, 1 gal blue) with no room-wide product override.",tests/domain/estimateAssembly.test.ts; tests/engine/estimate.test.ts,"Genuinely fixed and tested this session (also see BUG_FIX_LOG.md #6 live-browser note for the related snapshot-variant bug); confirms the earlier false mapping to a generic issue-journey test is now replaced by a real, targeted test."
PRO-002,Pro surfaces and summary,P0,implemented,passed,"tests/engine/fixtures.test.ts::""trim-surface (surface)"" (tests/fixtures/acceptance-fixtures.json id ""trim-surface"")",vitest 5 / Node,"Standalone trim (length100, width0.5, coats2, throughput40, waste0.1, coverage350, paint42, laborRate32) computed area 50.00, rawGallons 0.314286, purchasedGallons 1, hours 5.000000, laborCost 160.00 — matches given exactly.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json,
PRO-003,Pro surfaces and summary,P0,implemented,passed,"tests/engine/fixtures.test.ts::""door-two-faces (surface)"" (acceptance-fixtures.json id ""door-two-faces"")",vitest 5 / Node,"Standalone door (count1, 3x7, sides2, coats2, hoursPerSidePerCoat0.75, laborRate32) computed area 42.00, hours 3.000000, laborCost 96.00 — matches given exactly.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json,"""No room required"" is inherent since the fixture calls engine functions directly with no Room object; domain-level standalone-surface support is separately confirmed by tests/domain/estimateAssembly.test.ts ""a project with only a standalone door surface (roomId null) is complete and priced""."
PRO-004,Pro surfaces and summary,P0,implemented,not_run,,,,"src/domain/estimateAssembly.ts lines 112-121 (resolveSurface, door branch)","resolveSurface returns state:""missing"" when doorCount is set but widthFt/heightFt are missing, which bubbles up to an ""incomplete"" project result — matches the required behavior by code reading, but no automated test constructs this exact door-missing-width scenario."
PRO-005,Pro surfaces and summary,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""Standalone surfaces with no room > a standalone trim surface with missing developed width is incomplete, not silently zero""",vitest 5 / Node,"A trim surface with trimLengthFt set and developedWidthFt null produced calculationState !== ""complete"" and aggregate === null (not a linear-feet-as-area substitution).",tests/domain/estimateAssembly.test.ts,"Fixture given uses length=100; the existing test uses length=60. The numeric value is incidental to the property under test (missing width always yields incomplete regardless of length), so this is treated as a genuine match of the rule, not a coincidental pass."
PRO-006,Pro surfaces and summary,P0,partial,not_run,,,,"src/domain/estimateAssembly.ts lines 32-38, 160-166 (incompleteResult always returns aggregate: null)","The ""final cost/margin/issue unavailable when incomplete"" half is satisfied by design (incomplete blocks price/issue). The ""partial wall subtotal may show"" half is NOT implemented — incompleteResult() unconditionally returns aggregate: null, so no partial valid-subset subtotal is ever computed. No test targets this exact mixed valid-wall + incomplete-ceiling scenario."
PRO-007,Pro surfaces and summary,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""Disabled surfaces never contribute (mutation check regression) > a disabled surface with garbage geometry does not block or pollute an otherwise-valid project""",vitest 5 / Node,"Disabling a surface with invalid/garbage geometry let the rest of the project reach calculationState ""complete"" (the disabled surface never blocks or pollutes the result).",tests/domain/estimateAssembly.test.ts,"""No ghost ceiling in customer scope"" is not separately tested; code review of src/domain/customerDocument.ts line 16 confirms scopeLines filters by s.enabled (so a disabled ceiling is excluded from the customer document), but only for room-attached surfaces and with no dedicated test."
PRO-008,Pro surfaces and summary,P0,partial,not_run,,,,"src/domain/estimateAssembly.ts lines 194-204 (priceInput independent of jobCost); no ""changed cost warning"" code found anywhere in src/","A fixed custom price is structurally independent of jobCost (evaluatePrice recomputes margin against the new cost without moving the price) — generically covered by many price/job fixtures in tests/engine/fixtures.test.ts, but no test re-runs the SAME project before/after a cost increase. No ""changed cost warning"" UI feature exists anywhere (grep found none) — that part of the requirement is missing."
PRO-009,Pro surfaces and summary,P0,implemented,passed,"tests/domain/estimateAssembly.test.ts::""Suggested-price mode reports real profit/margin at the effective price (regression)""; tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""",vitest 5 / Node,"Suggested-mode effectivePrice is always re-evaluated so marginRatio >= target (0.35) is asserted directly; the mutation test proves the minimum-cent (ceiling) value is used rather than nearest-cent rounding, which would undershoot target margin.",tests/domain/estimateAssembly.test.ts; tests/mutation/mutation.test.ts,"No test literally re-runs the SAME project before/after a cost increase, but the asserted invariant (suggested price always meets/exceeds target margin) is exactly what ""raw resulting margin meets target"" requires and holds independent of the specific cost value."
PRO-010,Pro surfaces and summary,P0,implemented,passed,"src/domain/estimateAssembly.ts line 199 (effectivePrice = priced.minimumTargetPrice for suggested mode), verified by tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""",vitest 5 / Node,"Switching priceMode to ""suggested"" (ProApp.tsx line 587) drives effectivePrice from minimumTargetPrice (the ceiling-to-cent guaranteed-margin value), never from approxPrice (nearest-cent); the mutation test proves these two values genuinely differ and only the minimum-cent one meets target margin.",src/domain/estimateAssembly.ts; tests/mutation/mutation.test.ts,No test simulates the literal UI click of switching from custom to suggested (no component-test infra exists in this project); the underlying value-selection logic is verified directly instead.
PRO-011,Pro surfaces and summary,P0,implemented,not_run,,,,"src/domain/project.ts line 60 (checkIssueGate: ""At least one enabled surface is required to issue"")","checkIssueGate is invoked in exactly one test (tests/integration/draftIssuedIsolation.test.ts) and only for the passing/true case; no test exercises this blocking branch, nor the ""retained expenses/custom price"" combination from the given."
PRO-012,Pro surfaces and summary,P0,implemented,not_run,,,,src/domain/project.ts lines 62-63 (checkIssueGate: null-price and zero-price-without-confirmation blocking),Same as PRO-011 — checkIssueGate’s blocking branches are implemented but never exercised by any test (only the canIssue:true path is tested).
PRO-013,Pro surfaces and summary,P0,partial,passed,"tests/engine/document.test.ts::""COST-reconcile-01: mismatched rounded components surface an explicit adjustment row""",vitest 5 / Node,"reconcileDisplayedComponents([0.005,0.005], 0.01) returned displayed ['0.01','0.01'], displayedTotal '0.01', adjustment '-0.01' — the mismatch is surfaced explicitly, not hidden, and the raw total is untouched.",tests/engine/document.test.ts; src/engine/document.ts,"The reconciliation engine primitive is implemented and genuinely tested in isolation, but grep across src/ shows reconcileDisplayedComponents is never called from src/domain/estimateAssembly.ts or ProApp.tsx — only test files import it. The Pro app’s actual project summary does not yet surface this adjustment row to a user."
PRO-014,Pro surfaces and summary,P0,missing,not_run,,,,grep across src/ for reorder/drag/sortOrder/orderIndex,"No drag-and-drop reordering feature, or any order/index field on Room or Surface, exists anywhere in the codebase."
PRO-015,Pro surfaces and summary,P0,implemented,not_run,,,,"src/domain/project.ts (createDraftFromIssued, removeRoom lines 83-120); tests/domain/lifecycle.test.ts ""LIFE-D02""; tests/integration/draftIssuedIsolation.test.ts","The generic ""original issued revision is never mutated by a later edit"" guarantee is strongly tested, but with a different edit (adding a surface, not removing a room). removeRoom’s own surface-orphan-cleanup logic has no dedicated test, and no test combines removeRoom specifically with the issued-to-new-draft flow."
PRO-016,Pro surfaces and summary,P0,implemented,passed,"tests/domain/rateRefresh.test.ts::""'retain' keeps a deleted variant usable by copying it forward from the OLD snapshot"" and ""'replaceWith' repoints the surface at a new variant and does not need to retain the old one""",vitest 5 / Node,"For a variant deleted from the live catalog but still referenced by a surface, both explicit resolution paths (retain by value, or repoint to a replacement) work correctly; resolution is keyed strictly by variant ID, never by name.",tests/domain/rateRefresh.test.ts,"The throw-on-unresolved-missing-variant enforcement (src/domain/rateRefresh.ts lines 92-96) has no dedicated test of its own, though the two tested success paths are what the given/then are actually about."
ACT-001,Actual-cost review,P0,implemented,not_run,,,,src/engine/actuals.ts lines 49-59 (confirmedCategories < 4 branch),"The in_progress/null-everything branch is generic and applies identically to 0 confirmed categories as to 1+; but no test passes exactly 0 confirmed categories (closest is tests/engine/actuals.test.ts ""ACT-01"" with 1 confirmed). The ""missing indicators"" UI half of the ""then"" clause is also unverified — no per-category missing-indicator UI element was found."
ACT-002,Actual-cost review,P0,implemented,passed,"tests/engine/actuals.test.ts::""ACT-01 (V10): confirming materials alone leaves the review in_progress with no final profit/margin""",vitest 5 / Node,"materials confirmed=true amount=700, all others confirmed=false/null -> state in_progress, confirmedCategories=1, recordedCostSoFar=700, actualCost/profit/margin all null.",tests/engine/actuals.test.ts,Exact match to the given/then.
ACT-003,Actual-cost review,P0,implemented,passed,"tests/engine/actuals.test.ts::""ACT-02: explicit zero in every category is valid and finalizes"" + ""ACT-03: confirmed=true but amount=null does not count as a completed category""",vitest 5 / Node,"Together these prove amount=0+confirmed=true counts as supplied (state final, actualCost 0) while confirmed=true+amount=null does not count toward confirmedCategories — the ""zero vs. missing"" distinction.",tests/engine/actuals.test.ts,"The given is phrased around materials alone; the tests use all four categories (ACT-02) rather than materials in isolation, but categoryValue() is applied identically and independently per category, so this is a faithful proof of the same rule."
ACT-004,Actual-cost review,P0,implemented,not_run,,,,src/engine/actuals.ts line 42 (categoryValue: c.confirmed && c.amount !== null),"The check inherently excludes a category when confirmed is false, regardless of whether an amount value is present. No test supplies an amount alongside confirmed:false; all six existing tests only pair confirmed:false with amount:null."
ACT-005,Actual-cost review,P0,implemented,passed,"tests/engine/fixtures.test.ts::""actual-final (actual)"" (acceptance-fixtures.json id ""actual-final"")",vitest 5 / Node,"materials700/labor1400/otherExpenses100/overhead285/baselineCost2185/baselinePrice3200 -> actualCost 2485.00, profit 715.00, marginPercent 22.3, totalVariance 300.00.",tests/engine/fixtures.test.ts; tests/fixtures/acceptance-fixtures.json,Exact match to the given/then.
ACT-006,Actual-cost review,P0,implemented,passed,"tests/engine/fixtures.test.ts::""actual-final-loss (actual)""; tests/engine/actuals.test.ts::""ACT-04 (loss, v2.1 regression)""",vitest 5 / Node,"materials1000/labor2000/otherExpenses200/overhead300/baseline3200/cost2185 -> actualCost 3500.00, profit -300.00, marginPercent -9.4 (negative, not suppressed), totalVariance 1315.00.",tests/engine/fixtures.test.ts; tests/engine/actuals.test.ts; tests/fixtures/acceptance-fixtures.json,Exact match to the given/then.
